HGNC_Symbol,LFC,p
CFLAR,-0.45,0.41495
CAT,-1.67,0.03832
DCTD,-0.17,0.86623000000000006
CYB561,-0.17,0.70475
PRKX,-0.33,0.50934
RGS2,0.21,0.84036
CLTB,0.61,0.47881
UBE2A,-0.48,0.63309
TMEM97,0.14,0.84974
DNAJB6,-0.6,0.51769
P4HTM,0.1,0.92192
TSPAN6,-0.36,0.64499
NENF,-0.32,0.72175
TLR4,-0.76,0.35091
CRELD2,0.14,0.89097
KIT,-1.6,0.15241
HPRT1,-1.28,0.2411
CTSL,0.3,0.7767
SKP1,-0.34,0.72983
RRAGA,0.03,0.97904
SMARCC1,-0.69,0.45138
UBE2J1,-0.82,0.24279
GNAS,-0.39,0.33517
NUDT9,-0.77,0.44823
GSTM2,0.2,0.83786
CTNND1,-0.32,0.58971
REEP5,-0.01,0.7579
SLC35A3,0.09,0.49171
RRP8,-1.14,0.10705
CTNNAL1,-0.57,0.5703
WDTC1,-0.22,0.72564
C2CD2,0.35,0.7247
ABCF3,0.48,0.62619
ATMIN,-0.67,0.46722
KLHL9,-0.53,0.44797
TNFRSF21,1.25,0.188
ZDHHC6,0.34,0.73116
METRN,-0.61,0.44789
THAP11,-0.09,0.56183
TCFL5,0.21,0.52647
PLEKHJ1,0.58,0.55371
LRRC41,-0.42,0.62098
NET1,-0.9,0.13065
HLA-DMA,-0.97,0.36237
BACE2,0.17,0.15464
RAI14,-1.1,0.27116
KLHDC2,0.35,0.73319
SH3BP5,-0.1,0.70839
LRP10,-0.53,0.18587
TM9SF2,0.18,0.85665
ENOSF1,-0.52,0.56661
ALAS1,0.9,0.37083
ATP6V0B,0.62,0.54282
ST6GALNAC2,0.27,0.79186
FZD7,0.46,0.29425
BAG3,0.29,0.78604
NFKBIA,0.31,0.28515
S100A13,-0.61,0.40881
NISCH,0.99,0.35266
DUSP14,0.58,0.57065
HS2ST1,-0.31,0.46494
MPZL1,-0.43,0.6457
PRKACA,0.16,0.70365
CDK19,-0.65,0.4414
MBOAT7,0.7,0.49136
LGALS8,-0.45,0.60249
RALGDS,-0.27,0.78807
RASA1,-0.77,0.46281
CSNK1A1,-0.77,0.23086
NOLC1,0.51,0.35157
HES1,-0.22,0.58542
INTS3,-0.74,0.47217
DHDDS,-0.45,0.63908
UBQLN2,-0.16,0.87822
MAPKAPK5,-0.36,0.71379
ASCC3,-0.63,0.50908
HMGCS1,-0.91,0.25187
CEBPD,-1.32,0.15244
RTN2,0.24,0.66001
PLEKHM1,1.33,0.16631
B4GAT1,0.82,0.40736
RNPS1,-0.33,0.73342
PRPF4,-1.18,0.13878
LSM6,-0.43,0.66332
RFNG,1.46,0.19902
PYGL,0.03,0.97939
FGFR2,-0.5,0.36378
MMP2,-1.01,0.30917
LRPAP1,0.03,0.50873
WASF3,0.41,0.6869
CRK,-1.21,0.23891
MSH6,-1.24,0.21172
KLHL21,0.03,0.97521
GLRX,0.13,0.81369
EBP,0.36,0.4932
SYNE2,-0.6,0.2807
SLC35F2,-2.25,0.04457
CDKN1A,0.77,0.45788
EPHA3,-0.85,0.30133
ABL1,-0.37,0.7068
TP53BP1,-0.56,0.48236
TCEA2,0.56,0.54715
STX1A,0.3,0.76228
CISD1,0.53,0.59707
COL1A1,-1.01,0.29506
KCTD5,-0.53,0.5931
PTK2,0.33,0.31932
TERF2IP,0.46,0.6634
DECR1,0.37,0.70942
SNX11,-0.18,0.8598
EBNA1BP2,-0.29,0.38603
BCL7B,-0.49,0.61746
FDFT1,-0.11,0.64064
DNAJB1,0.36,0.72177
NPC1,-1.04,0.23087
SNCA,0.45,0.55458
PSME2,-0.59,0.55415
PSIP1,-1.34,0.16695
COG2,0.45,0.64149
RALA,0.06,0.95422
RPA2,0.79,0.43239
SCP2,-0.58,0.55147
NCK2,0.12,0.90595
CDK6,-0.67,0.46611
CDC42,0.01,0.52377
ADO,0.24,0.62063
JUN,-0.29,0.51879
TMCO1,0.35,0.72988
TSPAN4,0.26,0.66454
HSPA1A,-0.41,0.68451
RAD51C,-0.44,0.66254
ITGAE,0.02,0.98212
EGFR,-1.29,0.19701
PRR7,-0.53,0.58496
SLC25A4,0.73,0.39401
FKBP4,1.22,0.23123
EIF5,0.02,0.7985
SYPL1,-0.84,0.38209
ACAT2,-1.03,0.32464
RAB4A,-0.9,0.36651
RNF167,0.82,0.41944
PSMD10,-0.3,0.41046
TESK1,0.4,0.68698
BAMBI,-0.61,0.55601
CRKL,0.35,0.72753
UTP14A,0.35,0.72285
EAPP,-0.19,0.85356
PLSCR1,-1.11,0.26113
CIAPIN1,-0.64,0.1144
SMNDC1,-0.35,0.72731
ARHGEF12,-0.18,0.57521
MPC2,0.39,0.72007
CDC25B,-0.24,0.81433
INPP1,-0.26,0.79345
CYCS,-1.08,0.29084
CALM3,0.11,0.69871
CAB39,-1.66,0.11523
IER3,0.04,0.96811
HSPD1,-1.03,0.24399
PIK3C2B,-0.75,0.43737
FIS1,0.62,0.54037
DLD,-0.07,0.78718
MALT1,-0.66,0.28009
TPD52L2,0.47,0.64167
ACD,-0.07,0.94676
NUCB2,0.26,0.48637
PMAIP1,-1.54,0.1511
GTF2A2,-0.33,0.69493
ITFG1,-0.21,0.29954
KTN1,-0.64,0.42882
USP7,-0.01,0.79928
SNX6,-0.4,0.43917
DNTTIP2,0.11,0.90983
PSMD9,0.16,0.86716
MYCBP,-1.46,0.14321
PIH1D1,-0.16,0.87083
LAGE3,-0.05,0.651
CLSTN1,0.26,0.79229
ARID5B,-0.78,0.3684
PDLIM1,-0.06,0.9471
GPC1,-0.64,0.51399
SCARB1,-0.09,0.81295
MVP,-0.53,0.581
NUP93,-0.94,0.33747
GADD45B,-0.31,0.74024
ASAH1,-0.22,0.74065
SOX2,-0.27,0.30323
PDGFA,0.15,0.57669
ATP6V1D,0.53,0.44693
VDAC1,-1.97,0.07344
MKNK1,-0.43,0.58143
LPGAT1,-0.66,0.53175
LYRM1,-0.3,0.76151
NR3C1,-0.68,0.45871
COG7,-0.69,0.4946
ACLY,1.23,0.18045
UGDH,-0.19,0.8434
PCMT1,0.18,0.6855
USP14,-0.57,0.53634
PNKP,0.12,0.90264
MLLT11,0.15,0.87793
PSRC1,0.12,0.90508
MAPK9,-0.06,0.91019
IGF2BP2,-1.59,0.11758
NUP133,0.86,0.40309
TXLNA,-0.19,0.83053
DCUN1D4,-0.55,0.52103
ECH1,0.02,0.98137
NRAS,0.14,0.88947
TBC1D31,-1.27,0.1702
NPRL2,-0.11,0.9129
ITGB5,-0.24,0.56348
STXBP1,0.05,0.96071
VAT1,0.54,0.58025
DNAJB2,0.39,0.6973
KDM5B,-0.59,0.42218
ELOVL6,-0.14,0.62944
GATA2,-0.84,0.37927
DFFB,0.19,0.86314
POLR2K,0.17,0.43488
PSMD2,0.62,0.53394
GRN,-0.51,0.59871
TRAM2,-0.67,0.35296
TMEM50A,0.26,0.79741
GLOD4,-0.54,0.60078
SCCPDH,0.71,0.48487
CCNE2,-0.69,0.39305
YME1L1,-0.19,0.77844
HSD17B11,0.43,0.68048
TES,-0.44,0.59587
GNA11,-0.44,0.48237
DUSP3,0.2,0.61264
STX4,0.14,0.76591
UBE2L6,0.28,0.78362
MAP7,-0.86,0.38831
TRIM2,-0.39,0.66083
AKAP8,1.11,0.30158
BLVRA,-0.42,0.39303
XPNPEP1,-0.03,0.39526
RAB21,0.34,0.75133
HTATSF1,-0.64,0.50632
PLA2G4A,-1.88,0.08464
MBNL1,-0.5,0.39774
NOSIP,0.01,0.98878
ATP2C1,-0.28,0.56436
PHKA1,-1.13,0.28998
GRB10,0.54,0.57956
RBKS,-0.1,0.35351
PHKB,-0.33,0.36075
ANO10,-0.29,0.75692
CHIC2,-0.97,0.32102
PHGDH,-0.37,0.70439
TCEAL4,0.53,0.59462
POP4,-0.92,0.36212
TIMP2,0,0.85301
ARHGEF2,0.02,0.83743
CRYZ,-0.55,0.60097
EVL,-0.67,0.51109
CIRBP,0.05,0.77617
MTFR1,-0.79,0.43681
RPL39L,0.31,0.78294
MAP3K4,0.12,0.90453
CREG1,-0.4,0.68226
PAF1,-0.38,0.69649
CSNK2A2,-0.28,0.77086
JADE2,-0.61,0.37778
HMGCR,-0.18,0.69537
ZMYM2,-0.61,0.47716
RPN1,0.26,0.79315
CANT1,-0.97,0.15333
TRAPPC3,-0.06,0.79085
TOMM34,0.44,0.66208
KAT6B,-1.64,0.10656
ITGB1BP1,-0.14,0.82604
SLC27A3,0.53,0.59184
MFSD10,-0.25,0.7959
HSPB1,0.66,0.49285
SLC25A46,-0.72,0.46642
NRIP1,-1.23,0.16278
CRTAP,-0.11,0.44227
NNT,-1.42,0.12554
MAPKAPK3,-0.82,0.36313
TIMM22,0.19,0.64036
IPO13,-0.44,0.66299
GNB5,0.17,0.86615
CD320,0.79,0.45078
MTHFD2,-0.78,0.43196
FAT1,0.15,0.89607
AGL,-0.55,0.58031
EDEM1,-0.06,0.95265
MAT2A,-0.27,0.77114
COG4,0.15,0.88204
MEF2C,0.27,0.78977
SIRT3,0.55,0.54316
CYTH1,0.82,0.42422
MCOLN1,0.55,0.5766
FOXO4,-0.54,0.57713
GTF2E2,0.29,0.76913
JMJD6,0.21,0.82936
EED,-0.53,0.59861
ST3GAL5,0.22,0.83443
BLCAP,0.55,0.5913
PWP1,-0.27,0.44997
NGRN,0.1,0.49612
STUB1,0.66,0.51644
ABHD6,0.15,0.79357
FKBP14,-0.52,0.54814
SLC25A13,-1.25,0.20581
TATDN2,0.11,0.62781
PLA2G15,0.17,0.86463
PIP4K2B,-0.76,0.45191
DHX29,-1.41,0.16144
CSK,0.64,0.52612
PTPN12,-0.51,0.61745
WFS1,0,0.91513
RB1,-0.63,0.49043
PCK2,-0.46,0.65404
COPS7A,0.63,0.53004
RAP1GAP,0.73,0.47178
ST7,-0.4,0.59012
VPS28,0.33,0.74447
ETV1,-0.62,0.47625
RNH1,-0.5,0.2379
XPO7,-0.52,0.60015
NFATC4,-0.19,0.63824
PNP,-0.86,0.40104
RAB11FIP2,0.01,0.60625
ILK,0.26,0.78773
NCOA3,-0.53,0.26894
ATF1,-0.98,0.31462
GNAI1,-1.75,0.10161
SNX13,-0.25,0.38269
TICAM1,0.21,0.82835
SPEN,0.18,0.36719
PSMG1,-0.18,0.75831
TSC22D3,-0.08,0.62708
SDHB,0.15,0.72634
TXNL4B,0.4,0.49469
NIPSNAP1,-0.32,0.6514
ADAT1,-0.78,0.44493
RPIA,-1.26,0.21398
PCCB,-1.1,0.23047
SORBS3,-0.27,0.70661
CHEK1,-1,0.25775
CCDC86,-0.3,0.75892
SQSTM1,-0.5,0.52432
BDH1,-1.46,0.12651
ATG3,0.06,0.58052
HTRA1,-0.23,0.81332
FAH,-0.6,0.55655
ABCB6,0,0.95031
LSM5,0.06,0.51458
NIT1,-0.59,0.52246
GAA,-0.23,0.81368
STAT5B,-0.96,0.20406
EIF4G1,-0.91,0.31709
SKIV2L,0.4,0.68893
NCAPD2,-0.54,0.61828
BECN1,0.5,0.41791
ARHGAP1,-0.15,0.34907
FSD1,-0.07,0.94083
HSPA4,0.13,0.50445
CEP57,-1.6,0.08182
PAFAH1B3,1,0.30883
GNPDA1,0.9,0.37309
PARP1,-0.31,0.75075
GABPB1,-0.21,0.82893
SNAP25,-0.28,0.5619
FOXJ3,0.38,0.65161
VGLL4,-0.92,0.31106
SLC11A2,-0.7,0.44668
RBM15B,-0.53,0.59753
ELAVL1,-0.04,0.64686
STK10,-0.35,0.64059
PTK2B,-0.13,0.53815
NCK1,-0.49,0.42545
MAPK13,0.43,0.6481
PPARD,-0.27,0.53314
GPATCH8,-0.67,0.43874
MAST2,0.15,0.48948
ZNF589,-0.68,0.4131
TGFB3,-0.99,0.31498
CCNB1,-0.55,0.26483
ATP11B,-0.84,0.3873
ATF5,0.1,0.58651
CGRRF1,-0.33,0.74734
DDIT4,0.18,0.86561
TNIP1,0.35,0.72493
PSMB10,-0.32,0.75455
PRAF2,0.92,0.36756
SESN1,0.43,0.68081
WIPF2,0.02,0.84403
HACD3,0.54,0.56585
TPM1,0.35,0.25317
MAPKAPK2,0.06,0.84025
TOPBP1,-0.28,0.77375
SPP1,-0.55,0.25299
MTF2,0.1,0.53894
SMAD3,-0.44,0.6451
SPAG7,-0.14,0.88585
SPTLC2,-0.46,0.26821
CASP7,0.25,0.81486
NUP85,0.81,0.44392
TMEM109,0.57,0.57238
RAE1,-0.08,0.76618
SCRN1,0.78,0.43133
PRKCQ,-0.53,0.54432
PLOD3,-0.11,0.91329
NFIL3,-0.15,0.88115
GNAI2,0.53,0.38245
ACAA1,0.21,0.55719
NOTCH1,-1.01,0.29189
CEBPZ,0.03,0.97685
PAFAH1B1,0.2,0.8385
WDR7,0.37,0.72638
IGF1R,-0.79,0.22259
CDK7,0.31,0.74821
VAV3,-0.49,0.22677
CETN3,-1.61,0.1134
HAT1,-0.29,0.791
PAN2,0.02,0.98641
TSPAN3,-0.15,0.76887
DDX42,-0.62,0.34041
GOLT1B,0.11,0.7174
PDIA5,-0.98,0.38588
SMARCD2,0.47,0.65993
TSEN2,0.02,0.49478
EPN2,-0.66,0.45627
ALDOA,1.26,0.23067
SLC25A14,0.13,0.74693
MAP4K4,-0.73,0.41616
TRAK2,0.12,0.85054
OXA1L,0.3,0.76474
CCDC85B,0.38,0.62128
CXCR4,-0.43,0.58899
RAB27A,-0.36,0.35582
KDM3A,-1.26,0.21559
SMC3,0.2,0.36082
PAK4,0.25,0.51308
CCNH,-0.04,0.61671
TRIM13,-0.25,0.57708
HERPUD1,-0.42,0.68454
ELAC2,-0.7,0.42663
TRIB3,0.73,0.46005
PCM1,-1.32,0.13435
DRAP1,-1.21,0.23735
MOK,0.44,0.65979
AKT1,0.42,0.68381
RPA3,0.2,0.8385
EXOSC4,0.41,0.6835
P4HA2,0.75,0.35272
PDHX,-0.39,0.69999
TBPL1,-0.77,0.46106
PPIE,0.2,0.73126
SCAND1,0.04,0.64048
TOR1A,-0.02,0.77854
DMTF1,-0.99,0.31968
PIK3CA,-0.39,0.68988
KEAP1,0.52,0.60847
PTPRF,-0.84,0.34714
PAK1,0.54,0.42538
LAP3,-1.83,0.06568
SLC35B1,-0.02,0.98642
MIF,-1.05,0.30331
MLEC,0.26,0.63273
CAPN1,-0.27,0.67098
CD58,-1.28,0.1933
MICALL1,-0.98,0.32044
UBR7,0.15,0.89467
EPB41L2,-0.36,0.48134
DDR1,-0.42,0.66239
HSD17B10,-0.21,0.82985
TLK2,-1.06,0.30981
TARBP1,0.03,0.95916
DNM1,0.33,0.74636
CCDC92,-0.03,0.9784
ZFP36,-1.08,0.3
USP6NL,-2.39,0.02173
NR1H2,-0.62,0.52717
STK25,0.19,0.84763
NOL3,-0.51,0.59943
SSBP2,0.08,0.76799
NMT1,-0.06,0.59482
CAST,-0.27,0.44663
PPP2R5A,-0.37,0.60167
ANXA7,-0.32,0.75567
PIK3C3,-0.31,0.42918
CASK,-0.31,0.73225
NSDHL,-0.29,0.76754
G3BP1,-1.47,0.099
COL4A1,-0.5,0.56843
ADGRG1,-0.29,0.75326
IFNAR1,-0.51,0.3858
HEBP1,-0.12,0.90038
TUBB6,-0.76,0.47667
CTTN,-0.45,0.24674
APP,-1.08,0.22354
GALE,-0.74,0.45704
ABCF1,0.57,0.5647
PSME1,-0.03,0.97516
SHB,0.51,0.60843
TMED10,0.24,0.35901
ADI1,0.14,0.77653
PAX8,-0.35,0.45338
ZNF395,-0.64,0.51379
RAB31,-0.72,0.45684
UBE3C,-0.66,0.29152
PEX11A,-0.19,0.839
IGF2R,0.32,0.64417
UFM1,-1.09,0.22723
XBP1,0.12,0.90712
CCND3,0.12,0.74634
CERK,0.54,0.60201
MRPL12,0.5,0.61418
IFRD2,-0.1,0.91975
RPA1,0.1,0.64649
MAMLD1,-0.32,0.75427
HMG20B,-0.3,0.64267
PSMF1,-0.43,0.62656
ECD,0.72,0.48382
BCL2,-0.72,0.46586
EGR1,-1.14,0.25053
ABCC5,0.06,0.63569
KIF5C,-0.5,0.60777
RALB,-0.75,0.30955
PGM1,-0.12,0.90183
RPS6,-0.09,0.90806
MRPS2,0.37,0.70683
PAK6,-0.3,0.76212
PIK3R4,-0.24,0.39004
TBC1D9B,-0.02,0.57335
APPBP2,-0.84,0.32285
COASY,0.55,0.5894
ATF6,-0.26,0.59865
SPRED2,-0.76,0.41998
TFDP1,-0.64,0.39904
TCERG1,-0.95,0.28325
TJP1,-0.52,0.57533
IDE,-0.19,0.54302
GTPBP8,-0.58,0.57993
OXSR1,-0.55,0.56831
CTSD,0.22,0.7215
CBLB,-0.09,0.4139
MAPK1IP1L,-0.7,0.4198
HDAC2,-0.12,0.61706
CDK5R1,-1.02,0.32279
BZW2,0.46,0.6399
DNAJC15,-1.17,0.19383
RPP38,0.43,0.66678
SOX4,-0.62,0.43981
PPP2R5E,-0.04,0.34288
C2CD5,-0.16,0.86998
GFPT1,-0.26,0.54367
FBXO11,-1.13,0.2293
INSIG1,-0.64,0.52507
BNIP3L,-0.37,0.72312
