HGNC_Symbol,LFC,p
CFLAR,0.01,0.89162
CAT,-0.22,0.19619
DCTD,-0.49,0.00189
CYB561,-0.25,0.13948
PRKX,-0.07,0.37263
RGS2,-0.03,0.69797
CLTB,-0.15,0.16451
UBE2A,-0.23,0.11552
TMEM97,0.03,0.8443
DNAJB6,-0.24,1.1e-4
P4HTM,-0.3,0.01094
TSPAN6,0.13,0.49071
NENF,-0.55,0
TLR4,0.11,0.33
CRELD2,-0.36,0.02641
KIT,0.13,0.4721
HPRT1,-0.15,0.02545
CTSL,-0.25,1.8e-4
SKP1,-0.2,0.00197
RRAGA,-0.21,0.00278
SMARCC1,0.57,0.00129
UBE2J1,-0.78,0
GNAS,0.04,0.41856
NUDT9,-0.17,0.21048
GSTM2,0.06,0.6571
CTNND1,0.2,0.22932
REEP5,-0.1,0.15135
SLC35A3,-0.16,0.31061
RRP8,-0.26,0.10079
CTNNAL1,0.03,0.81126
WDTC1,0.2,0.10788
C2CD2,0.28,0.11239
ABCF3,-0.29,0.0122
ATMIN,-0.24,0.00587
KLHL9,-0.24,0.01276
TNFRSF21,-0.1,0.26402
ZDHHC6,0.07,0.66896
METRN,-0.01,0.91219
THAP11,-0.06,0.46996
TCFL5,-0.02,0.89954
PLEKHJ1,-0.03,0.70478
LRRC41,-0.2,0.11981
NET1,0,0.98353
HLA-DMA,-0.02,0.83882
BACE2,-0.02,0.92274
RAI14,-0.01,0.9105
KLHDC2,-0.51,2e-5
SH3BP5,-0.02,0.7477
LRP10,0.06,0.53024
TM9SF2,-0.43,1.7e-4
ENOSF1,0.09,0.2749
ALAS1,-0.28,0.10199
ATP6V0B,-0.38,1e-5
ST6GALNAC2,0,0.96872
FZD7,-0.03,0.72327
BAG3,0.32,0.01753
NFKBIA,0.08,0.57208
S100A13,-0.18,0.22554
NISCH,-0.27,0.03599
DUSP14,0.11,0.25213
HS2ST1,-0.53,0.00395
MPZL1,-0.38,0.01369
PRKACA,-0.01,0.95397
CDK19,0.31,0.03848
MBOAT7,0.07,0.52214
LGALS8,-0.13,0.22402
RALGDS,0.17,0.55785
RASA1,0.13,0.13723
CSNK1A1,-0.09,0.16374
NOLC1,-0.36,0.01277
HES1,0.31,0.00563
INTS3,-0.09,0.42574
DHDDS,0.02,0.76862
UBQLN2,0.01,0.84633
MAPKAPK5,-0.18,0.34158
ASCC3,-0.2,0.1668
HMGCS1,-0.18,9.1e-4
CEBPD,-0.01,0.89028
RTN2,-0.15,0.37609
PLEKHM1,0.25,0.02678
B4GAT1,0,0.94205
RNPS1,0.13,0.18773
PRPF4,-0.27,0.06168
LSM6,-0.47,2e-4
RFNG,0.06,0.43192
PYGL,-0.02,0.78912
FGFR2,-0.14,0.4263
MMP2,0.01,0.92995
