HGNC_Symbol,LFC,p
CFLAR,0.08,0.42425
CAT,-0.03,0.46793
DCTD,0.03,0.46382
CYB561,-0.02,0.67598
PRKX,0.28,0.00708
RGS2,0.2,0.12909
CLTB,0.06,0.57739
UBE2A,-0.02,0.76844
TMEM97,0.02,0.70177
DNAJB6,0.07,0.56611
P4HTM,-0.1,0.08211
TSPAN6,-0.02,0.87533
NENF,0.08,0.41791
TLR4,0.05,0.69382
CRELD2,0.02,0.808
KIT,0.08,0.58989
HPRT1,0.06,0.50169
CTSL,-0.01,0.92969
SKP1,-0.04,0.51847
RRAGA,-0.04,0.58051
SMARCC1,0.02,0.8193
UBE2J1,0.06,0.13446
GNAS,0.07,0.42311
NUDT9,0.08,0.2666
GSTM2,0.05,0.63823
CTNND1,-0.04,0.31343
REEP5,-0.05,0.66006
SLC35A3,-0.06,0.35431
RRP8,0.06,0.22997
CTNNAL1,-0.03,0.65662
WDTC1,-0.06,0.24572
C2CD2,0.17,0.02225
ABCF3,0.03,0.65148
ATMIN,-0.04,0.40196
KLHL9,-0.08,0.44319
TNFRSF21,0.05,0.61994
ZDHHC6,0.03,0.42539
METRN,-0.04,0.78821
THAP11,0.06,0.27992
TCFL5,0.02,0.2698
PLEKHJ1,-0.14,0.02039
LRRC41,-0.05,0.55218
NET1,-0.28,0.03127
HLA-DMA,0.17,0.17707
BACE2,0.26,0.10011
RAI14,0.22,0.33544
KLHDC2,-0.03,0.68392
SH3BP5,0,0.90377
LRP10,0.12,0.38288
TM9SF2,-0.05,0.52039
ENOSF1,-0.01,0.49144
ALAS1,-0.02,0.81449
ATP6V0B,-0.05,0.62692
ST6GALNAC2,0.1,0.37184
FZD7,0.11,0.31644
BAG3,0.54,0.00611
NFKBIA,0.11,0.47978
S100A13,-0.06,0.64609
NISCH,-0.04,0.31596
DUSP14,0.07,0.44735
HS2ST1,0.04,0.21369
MPZL1,-0.01,0.47703
PRKACA,-0.02,0.81989
CDK19,-0.03,0.56711
MBOAT7,0.04,0.49816
LGALS8,0.05,0.26999
RALGDS,0.07,0.47792
RASA1,-0.02,0.84297
CSNK1A1,0.09,0.28771
NOLC1,-0.02,0.79457
HES1,-0.22,0.19909
INTS3,0.16,0.26829
DHDDS,0.12,0.45424
UBQLN2,-0.06,0.47226
MAPKAPK5,-0.09,0.37416
ASCC3,0.03,0.42436
HMGCS1,-0.14,0.25494
CEBPD,0.28,0.18047
RTN2,0.05,0.55393
PLEKHM1,0.18,0.36296
B4GAT1,-0.06,0.52292
RNPS1,-0.12,0.3729
PRPF4,-0.09,0.26812
LSM6,0.06,0.33833
RFNG,-0.07,0.39915
PYGL,0.32,0.00354
FGFR2,0.03,0.37875
MMP2,0.01,0.81707
LRPAP1,-0.07,0.48472
WASF3,0.01,0.89132
CRK,0.06,0.55601
MSH6,0.09,0.45674
KLHL21,0.32,0.01299
GLRX,0.21,0.20114
EBP,-0.05,0.50981
SYNE2,0,0.69696
SLC35F2,0,0.97305
CDKN1A,0.22,0.41226
EPHA3,0.17,0.4153
ABL1,0.09,0.2798
TP53BP1,-0.04,0.46624
TCEA2,-0.11,0.46194
STX1A,-0.16,0.20956
CISD1,-0.06,0.51903
COL1A1,-0.39,0.1051
KCTD5,0.03,0.63057
PTK2,0.04,0.58176
