HGNC_Symbol,LFC,p
CFLAR,-0.15,0.59805
CAT,0.26,0.16269
DCTD,0.05,0.64792
CYB561,0,0.98155
PRKX,-0.1,0.669
RGS2,-0.12,0.27268
CLTB,0.16,0.30962
UBE2A,-0.01,0.9392
TMEM97,-0.18,0.2211
DNAJB6,0.39,0.05521
P4HTM,0.05,0.64707
TSPAN6,0.2,0.32411
NENF,0.33,0.07427
TLR4,0.11,0.65415
CRELD2,0.26,0.02081
KIT,0.06,0.72801
HPRT1,0.07,0.69931
CTSL,0.02,0.86017
SKP1,0.16,0.05219
RRAGA,0.09,0.48029
SMARCC1,0.77,0.01046
UBE2J1,0.03,0.8302
GNAS,0.26,0.003
NUDT9,0.16,0.19203
GSTM2,-0.01,0.94582
CTNND1,-0.02,0.89365000000000006
REEP5,-0.03,0.88582
SLC35A3,-0.4,0.03595
RRP8,0.04,0.79282
CTNNAL1,-0.12,0.27831
WDTC1,0.06,0.63924
C2CD2,0.14,0.24824
ABCF3,0.04,0.75332
ATMIN,0.12,0.12975
KLHL9,-0.05,0.49789
TNFRSF21,-0.1,0.52983
ZDHHC6,-0.25,0.0046
METRN,0.33,0.18719
THAP11,-0.03,0.82935
TCFL5,0.15,0.33262
PLEKHJ1,0.17,0.09441
LRRC41,-0.06,0.49086
NET1,-0.07,0.65617
HLA-DMA,-0.16,0.66321
BACE2,-0.27,0.23891
RAI14,-0.21,0.39713
KLHDC2,0.09,0.44017
SH3BP5,-0.12,0.3931
LRP10,0.15,0.49733
TM9SF2,0.05,0.63567
ENOSF1,-0.43,0.12004
ALAS1,0.06,0.76986
ATP6V0B,-0.02,0.917
ST6GALNAC2,NA,NA
FZD7,0.17,0.49904
BAG3,-0.24,0.42096
NFKBIA,-0.41,0.0222
S100A13,0.16,0.47517
NISCH,0.12,0.29762
DUSP14,0.03,0.82583
HS2ST1,0.09,0.60508
MPZL1,-0.13,0.24296
PRKACA,-0.06,0.67076
CDK19,-0.08,0.59005
MBOAT7,0.15,0.35072
LGALS8,0.06,0.62198
RALGDS,0.04,0.84389
RASA1,0.01,0.93767
CSNK1A1,0.38,0.01273
NOLC1,-0.33,0.0084
HES1,0.8,0.02935
INTS3,0.29,8.2e-4
DHDDS,0,0.98087
UBQLN2,-0.1,0.29628
MAPKAPK5,0.3,0.05133
ASCC3,0,0.99704
HMGCS1,0.18,0.2713
CEBPD,-0.28,0.38021
RTN2,0.16,0.31131
PLEKHM1,-0.18,0.07491
B4GAT1,0.08,0.65005
RNPS1,0.13,0.14413
PRPF4,-0.3,0.0101
LSM6,-0.09,0.47862
RFNG,0.25,0.0615
PYGL,-0.07,0.7693
FGFR2,-0.16,0.41948
MMP2,-0.25,0.21346
LRPAP1,0.01,0.91612
WASF3,0.12,0.22263
CRK,-0.18,0.13344
MSH6,-0.13,0.19099
KLHL21,0.03,0.8356
GLRX,-0.21,0.27458
EBP,0.15,0.25049
SYNE2,0.26,0.02934
SLC35F2,-0.1,0.52343
CDKN1A,-0.32,0.51548
EPHA3,0,0.99971
ABL1,0.03,0.82447
TP53BP1,-0.11,0.40285
TCEA2,0.14,0.2799
STX1A,0.33,0.12626
CISD1,0.69,0.00514
COL1A1,0.13,0.8236
KCTD5,-0.01,0.96083
PTK2,-0.24,0.0842
TERF2IP,0.04,0.65645
DECR1,0.15,0.39532
SNX11,-0.03,0.88412
EBNA1BP2,0.07,0.57177
BCL7B,0.07,0.44583
FDFT1,0.14,0.2054
DNAJB1,-0.06,0.7837
NPC1,-0.45,0.09913
SNCA,0.09,0.70252
PSME2,0.11,0.51415
PSIP1,-0.07,0.44217
COG2,-0.09,0.3354
RALA,0.08,0.54436
RPA2,0.03,0.74368
SCP2,0.1,0.2959
NCK2,-0.05,0.61653
CDK6,-0.15,0.28724
CDC42,0.06,0.68901
ADO,-0.24,0.02777
JUN,-0.15,0.29915
TMCO1,-0.2,0.285
TSPAN4,0.07,0.75639
HSPA1A,0.25,0.35595
RAD51C,0.13,0.29335
ITGAE,0.08,0.33091
EGFR,-0.36,0.19485
PRR7,0.55,0.01951
SLC25A4,0.26,0.18052
FKBP4,0.04,0.77838
EIF5,0.02,0.91841
SYPL1,-0.17,0.43414
ACAT2,0.07,0.55454
RAB4A,0.17,0.07156
RNF167,0.1,0.45157
PSMD10,0.01,0.90219
TESK1,0.31,0.03164
BAMBI,-0.02,0.89768
CRKL,-0.18,0.38038
UTP14A,-0.07,0.50837
EAPP,-0.13,0.12882
PLSCR1,-0.65,0.14218
CIAPIN1,0.06,0.72006
SMNDC1,-0.25,0.02698
ARHGEF12,-0.08,0.41035
MPC2,0.12,0.28059
CDC25B,-0.08,0.5193
INPP1,-0.19,0.25668
CYCS,0.04,0.6531
CALM3,0.2,0.34709
CAB39,-0.09,0.48016
IER3,0.03,0.90115
HSPD1,0.23,0.12515
PIK3C2B,-0.67,0.00141
FIS1,0.1,0.53316
DLD,-0.04,0.77088
MALT1,-0.09,0.58155
TPD52L2,0,0.99167
ACD,-0.04,0.73168
NUCB2,0.04,0.78667
PMAIP1,0.15,0.58998
GTF2A2,0.1,0.42181
ITFG1,-0.01,0.97033
KTN1,-0.1,0.60823
USP7,-0.01,0.93538
SNX6,-0.05,0.78842
DNTTIP2,-0.2,0.02538
PSMD9,0.06,0.5356
MYCBP,-0.09,0.60141
PIH1D1,-0.09,0.3905
LAGE3,0.17,0.05167
CLSTN1,0.23,0.12379
ARID5B,-0.21,0.06983
PDLIM1,-0.38,0.32605
GPC1,0.12,0.3176
SCARB1,0.33,0.07081
MVP,0.11,0.74574
NUP93,0.14,0.38435
GADD45B,-0.85,0.14295
ASAH1,-0.16,0.14844
SOX2,0.67,0.01896
PDGFA,-0.17,0.17715
ATP6V1D,0.11,0.39545
VDAC1,0,0.99758
MKNK1,-0.23,0.04061
LPGAT1,-0.07,0.65639
LYRM1,0.17,0.05428
NR3C1,-0.33,0.01334
COG7,0.33,0.10064
ACLY,0.14,0.21784
UGDH,-0.33,0.11148
PCMT1,0.05,0.78264
USP14,-0.52,2.9e-4
PNKP,0.06,0.59594
MLLT11,0.07,0.68263
PSRC1,-0.15,0.26003
MAPK9,0.1,0.61263
IGF2BP2,-0.48,0.04055
NUP133,-0.07,0.38143
TXLNA,0.06,0.51541
DCUN1D4,0.15,0.23897
ECH1,0.12,0.25415
NRAS,-0.09,0.547
TBC1D31,0.04,0.78748
NPRL2,0.14,0.29086
ITGB5,0.03,0.8597
STXBP1,0.05,0.72081
VAT1,0.02,0.88107
DNAJB2,0.06,0.55315
KDM5B,-0.2,0.11353
ELOVL6,-0.05,0.70368
GATA2,-0.42,0.11335
DFFB,-0.04,0.79247
POLR2K,-0.04,0.66322
PSMD2,0.04,0.62412
GRN,0.01,0.94833
TRAM2,0.11,0.64609
TMEM50A,-0.29,0.01233
GLOD4,-0.02,0.88311
SCCPDH,0.08,0.60572
CCNE2,-0.15,0.67935
