HGNC_Symbol,LFC,p
CFLAR,-0.01,0.54407
CAT,-0.76,0.127
DCTD,1.29,0.28667
CYB561,0.07,0.81386
PRKX,-0.43,0.33168
RGS2,-0.96,0.40896
CLTB,0.03,0.9237
UBE2A,-1.09,0.30338
TMEM97,-0.65,0.51862
DNAJB6,-0.03,0.3688
P4HTM,-0.41,0.6826
TSPAN6,-0.7,0.52046
NENF,-0.64,0.55125
TLR4,-0.97,0.34719
CRELD2,-1.27,0.24832
KIT,0.98,0.54633
HPRT1,-0.16,0.39744
CTSL,-0.74,0.49181
SKP1,-0.57,0.58341
RRAGA,-1.36,0.20979
SMARCC1,-0.73,0.37963
UBE2J1,-0.53,0.38707
GNAS,-0.28,0.62611000000000006
NUDT9,-0.52,0.5783
GSTM2,-0.7,0.51563
CTNND1,0.03,0.85488
REEP5,-0.56,0.52395
SLC35A3,-0.04,0.37925
RRP8,-0.13,0.69013
CTNNAL1,-1.31,0.30321
WDTC1,-0.31,0.45412
C2CD2,-0.34,0.75143
ABCF3,-0.35,0.76193
ATMIN,-0.02,0.94147
KLHL9,-0.29,0.30471
TNFRSF21,-1.13,0.24614
ZDHHC6,-0.98,0.42831
METRN,-0.22,0.4739
THAP11,0.06,0.78429
TCFL5,-0.33,0.77849
PLEKHJ1,0.08,0.92864
LRRC41,0.04,0.70017
NET1,-0.38,0.57696
HLA-DMA,1.38,0.25636
BACE2,0.59,0.39025
RAI14,-0.86,0.5579
KLHDC2,-0.85,0.51419
SH3BP5,-0.37,0.65037
LRP10,-0.35,0.36096
TM9SF2,0.39,0.71553
ENOSF1,-1.21,0.37613
ALAS1,-0.17,0.88026
ATP6V0B,0.3,0.40664
ST6GALNAC2,2.36,0.01279
FZD7,0.68,0.33056
BAG3,-0.26,0.84054
NFKBIA,-1.24,0.29893
S100A13,0.2,0.36308
NISCH,-0.76,0.52373
DUSP14,-0.46,0.60621
HS2ST1,-0.8,0.41364
MPZL1,0.12,0.47587
PRKACA,0.12,0.63092
CDK19,-1.04,0.30621
MBOAT7,-0.13,0.89856
LGALS8,-0.65,0.4817
RALGDS,1.01,0.10405
RASA1,0.24,0.3415
CSNK1A1,-0.11,0.40512
NOLC1,-0.07,0.89969
HES1,1.1,0.28742
INTS3,0.15,0.67604
DHDDS,-0.46,0.67738
UBQLN2,-0.61,0.60344
MAPKAPK5,-0.82,0.41656
ASCC3,-0.47,0.48117
HMGCS1,0.39,0.43465
CEBPD,-0.19,0.44262
RTN2,1.12,0.24601
PLEKHM1,-0.05,0.55367
B4GAT1,-0.47,0.652
RNPS1,-0.06,0.86111
PRPF4,-0.16,0.70516
LSM6,-0.46,0.65116
RFNG,-0.03,0.97629
PYGL,-0.37,0.75823
FGFR2,0,0.3608
MMP2,-0.69,0.39962
LRPAP1,-0.23,0.77616
WASF3,-0.62,0.51747
CRK,-0.47,0.49114
MSH6,-0.26,0.76212
KLHL21,-0.77,0.44544
GLRX,-0.72,0.45184
EBP,0.65,0.5023
SYNE2,0,0.72121
SLC35F2,1.52,0.153
CDKN1A,-0.23,0.77279
EPHA3,-0.47,0.34741
ABL1,-0.14,0.89087
TP53BP1,1.08,0.18834
TCEA2,0.3,0.48864
STX1A,-1.02,0.33771
CISD1,-1.09,0.35993000000000003
COL1A1,0.01,0.63021
KCTD5,-0.43,0.45491
PTK2,-0.75,0.48042
TERF2IP,-0.51,0.68062
DECR1,-1.09,0.33338
SNX11,-0.46,0.26618000000000003
EBNA1BP2,-0.77,0.55122
BCL7B,0.31,0.74607
FDFT1,-0.65,0.42085
DNAJB1,-0.33,0.72913
NPC1,-0.29,0.48495
SNCA,-0.77,0.48762
PSME2,0.21,0.81308
PSIP1,-0.77,0.39533
COG2,-1.27,0.16
RALA,-1.4,0.24257
RPA2,0,0.82706
SCP2,-1.69,0.14074
NCK2,-0.58,0.58614
CDK6,-0.33,0.64512
CDC42,-0.7,0.49648
ADO,-1.36,0.1959
JUN,-0.2,0.47268
TMCO1,0.45,0.623
TSPAN4,-0.1,0.88368
HSPA1A,-0.62,0.53003
RAD51C,-0.59,0.35749
ITGAE,-0.32,0.7384
EGFR,0.49,0.46858
PRR7,-0.09,0.77967
SLC25A4,-0.11,0.64684
FKBP4,-0.36,0.58186
EIF5,-0.86,0.37439
SYPL1,0.25,0.64794
ACAT2,-0.76,0.49555
RAB4A,1,0.07721
RNF167,-0.23,0.82904
PSMD10,0.54,0.58767
TESK1,-0.56,0.56515
BAMBI,0.68,0.55676
CRKL,-0.57,0.33812
UTP14A,0.25,0.5371
EAPP,-1.43,0.23356
PLSCR1,-0.62,0.50718
CIAPIN1,-2.07,0.10478
SMNDC1,0.22,0.83711
ARHGEF12,-0.34,0.4408
MPC2,-0.48,0.65662
CDC25B,-0.18,0.85888
INPP1,-0.96,0.38171
CYCS,-1.01,0.10618
CALM3,-0.34,0.65984
CAB39,-0.9,0.24826
IER3,-1.34,0.34869
HSPD1,1.31,0.23694
PIK3C2B,-0.06,0.95648
FIS1,-0.13,0.89394
DLD,0.45,0.53658
MALT1,-0.52,0.3912
TPD52L2,-0.06,0.95194
ACD,-0.13,0.8878
NUCB2,-0.73,0.51968
PMAIP1,1.35,0.18636
GTF2A2,-0.24,0.4569
ITFG1,-0.18,0.40976
KTN1,-0.69,0.48765
USP7,-1.09,0.26599
SNX6,-0.63,0.48106
DNTTIP2,0.11,0.911
