HGNC_Symbol,LFC,p
CFLAR,0.14,0.50016
CAT,-0.45,0.21501
DCTD,0.13,0.58355
CYB561,-0.04,0.62501
PRKX,0.95,0.27345
RGS2,-0.25,0.77758
CLTB,0.75,0.36962
UBE2A,-0.01,0.89151
TMEM97,-0.2,0.44712
DNAJB6,0.41,0.2068
P4HTM,0.27,0.80622
TSPAN6,-0.02,0.244
NENF,-0.18,0.79146
TLR4,-0.48,0.273
CRELD2,0.17,0.84374
KIT,0.52,0.62281
HPRT1,-0.05,0.71702
CTSL,0.84,0.42716
SKP1,-0.26,0.76292
RRAGA,0.39,0.7111
SMARCC1,0.63,0.34616
UBE2J1,0.09,0.34954
GNAS,-0.09,0.52528
NUDT9,-0.56,0.53531
GSTM2,0.73,0.41509
CTNND1,0.14,0.7023
REEP5,-0.3,0.67031
SLC35A3,-0.37,0.32532
RRP8,-0.62,0.37657
CTNNAL1,0.32,0.74342
WDTC1,0.36,0.50844
C2CD2,0.43,0.63496
ABCF3,0.18,0.81863
ATMIN,-0.28,0.49252
KLHL9,-0.19,0.37804
TNFRSF21,-0.48,0.36064
ZDHHC6,-0.08,0.93385
METRN,0.96,0.23555
THAP11,0.29,0.73972
TCFL5,0.08,0.92367
PLEKHJ1,0.39,0.59323
LRRC41,-0.48,0.28349
NET1,1.1,0.2526
HLA-DMA,0.51,0.60183
BACE2,0.35,0.32108
RAI14,1.62,0.08389
KLHDC2,-0.04,0.97136
SH3BP5,-0.16,0.75728
LRP10,1.09,0.25592
TM9SF2,1.26,0.27027
ENOSF1,-0.18,0.41389
ALAS1,-0.3,0.78565
ATP6V0B,0.3,0.72772
ST6GALNAC2,1.2,0.17143
FZD7,0.37,0.65564
BAG3,1.46,0.08768
NFKBIA,0.84,0.30236
S100A13,-0.13,0.17606
NISCH,1.05,0.2509
DUSP14,-0.71,0.49048
HS2ST1,0.22,0.73713
MPZL1,-0.13,0.23664
PRKACA,0.03,0.57996
CDK19,0.34,0.35336
MBOAT7,0.29,0.64148
LGALS8,-0.28,0.54365
RALGDS,-0.59,0.37766
RASA1,-1.13,0.2451
CSNK1A1,0.16,0.55548
NOLC1,0.03,0.49379
HES1,0.98,0.25358
INTS3,-0.08,0.80252
DHDDS,0.16,0.84092
UBQLN2,0.25,0.80288
MAPKAPK5,-1.56,0.15245
ASCC3,0.73,0.34862
HMGCS1,-0.07,0.61819
CEBPD,-0.1,0.36122
RTN2,0.41,0.61936
PLEKHM1,-0.71,0.46795
B4GAT1,0.44,0.69161
RNPS1,0.07,0.83294
PRPF4,-0.38,0.69018
LSM6,-0.76,0.4345
RFNG,0.58,0.46424
PYGL,0.01,0.99446
FGFR2,0.09,0.49393
MMP2,0.61,0.16704
LRPAP1,0.39,0.60646
WASF3,1.24,0.26928
CRK,-0.51,0.25192
MSH6,-0.45,0.35077
