HGNC_Symbol,LFC,p
CFLAR,-0.01,0.46152
CAT,0.62,0.21989
DCTD,1.16,0.30647
CYB561,-0.16,0.66604
PRKX,0.74,0.26801
RGS2,-0.56,0.58553
CLTB,-0.78,0.15863
UBE2A,-0.18,0.51556
TMEM97,-0.31,0.59897
DNAJB6,-0.3,0.41076
P4HTM,-0.16,0.87348
TSPAN6,1.05,0.3455
NENF,0.56,0.46432
TLR4,0.92,0.37493
CRELD2,-0.78,0.42971
KIT,1.11,0.21997
HPRT1,-0.42,0.52381
CTSL,0.21,0.84969
SKP1,-0.3,0.76555
RRAGA,-0.14,0.90148
SMARCC1,0.51,0.58592
UBE2J1,0.26,0.54623
GNAS,-0.12,0.50805
NUDT9,-0.64,0.58587
GSTM2,0.95,0.29158
CTNND1,0.79,0.30819
REEP5,-0.23,0.81212
SLC35A3,1.16,0.16652
RRP8,0.38,0.36181
CTNNAL1,0.1,0.91116
WDTC1,0.49,0.57566
C2CD2,0.58,0.5661
ABCF3,-0.32,0.75545
ATMIN,0.75,0.46586
KLHL9,0.36,0.48967
TNFRSF21,-0.45,0.32626
ZDHHC6,0.76,0.47647
METRN,-0.29,0.70826
THAP11,0.21,0.62961
TCFL5,0.66,0.53995
PLEKHJ1,0.12,0.89678
LRRC41,-0.16,0.36081
NET1,0.61,0.55244
HLA-DMA,-1.02,0.47446
BACE2,0.63,0.20841
RAI14,0.55,0.60998
KLHDC2,0.66,0.54204
SH3BP5,1.06,0.39633
LRP10,2.75,0.04409
TM9SF2,-1.12,0.26155
ENOSF1,-0.77,0.50254
ALAS1,0.46,0.68837
ATP6V0B,-0.24,0.68984
ST6GALNAC2,-0.01,0.99531
FZD7,0.39,0.32612
BAG3,1.21,0.31522
NFKBIA,-0.73,0.41893
S100A13,-0.03,0.62899
NISCH,-0.34,0.74155
DUSP14,-0.06,0.94649
HS2ST1,1.04,0.20958
MPZL1,-0.19,0.4704
PRKACA,-0.26,0.60086
CDK19,0.42,0.48286
MBOAT7,0.08,0.77564
LGALS8,-0.08,0.6968
RALGDS,-1.07,0.29553
RASA1,-0.38,0.52563
CSNK1A1,0.22,0.37215
NOLC1,0.66,0.45417
HES1,0.04,0.59076
INTS3,-0.74,0.4463
DHDDS,0.38,0.50907
UBQLN2,0.76,0.47104
MAPKAPK5,0.37,0.70382
ASCC3,0.27,0.6334
HMGCS1,-0.09,0.64144
CEBPD,0.27,0.44987
RTN2,-0.56,0.55709
PLEKHM1,-0.39,0.48347
B4GAT1,0.22,0.83147
RNPS1,0.18,0.84268
PRPF4,-0.4,0.70534
LSM6,0.18,0.87201
RFNG,0.64,0.52647
PYGL,-0.34,0.71424
FGFR2,1.06,0.19248
MMP2,0.31,0.37643
LRPAP1,0.37,0.38144
WASF3,-0.53,0.67746
CRK,-0.29,0.75002
MSH6,-0.48,0.44338
KLHL21,-0.26,0.78725
GLRX,-0.29,0.80024
EBP,-1.04,0.32364
SYNE2,0.17,0.70948
SLC35F2,-0.41,0.71839
CDKN1A,0.4,0.73016
EPHA3,-0.01,0.418
ABL1,1.66,0.15129
TP53BP1,0.35,0.71718
TCEA2,0.32,0.58045
STX1A,-0.18,0.85129
CISD1,0.02,0.98835
COL1A1,-0.2,0.43253
KCTD5,0.49,0.60509
