HGNC_Symbol,LFC,p
CFLAR,-0.36,0.1732
CAT,-0.42,0.04295
DCTD,0.04,0.74497
CYB561,0.24,0.08629
PRKX,-0.17,0.56583
RGS2,0.31,0.0434
CLTB,0.2,0.257
UBE2A,0.08,0.48666
TMEM97,0.35,0.00775
DNAJB6,-0.03,0.90304
P4HTM,0.15,0.2034
TSPAN6,-0.05,0.77628
NENF,-0.17,0.39325
TLR4,0.14,0.57949
CRELD2,-0.01,0.94127
KIT,0.45,0.0542
HPRT1,0.34,0.16001
CTSL,-0.14,0.20292
SKP1,0.14,0.09703
RRAGA,0.12,0.36283
SMARCC1,-1.17,2.1e-4
UBE2J1,-0.09,0.44151
GNAS,0.14,0.14452
NUDT9,0.2,0.18277
GSTM2,0.06,0.80575
CTNND1,0.02,0.89223
REEP5,0.31,0.12038
SLC35A3,-0.39,0.06054
RRP8,0.02,0.92428
CTNNAL1,0.05,0.70225
WDTC1,-0.02,0.88906
C2CD2,-0.13,0.37243
ABCF3,-0.01,0.93956
ATMIN,-0.09,0.40376
KLHL9,0.06,0.62359
TNFRSF21,-0.2,0.26964
ZDHHC6,0.1,0.35515
METRN,-0.56,0.03532
THAP11,-0.12,0.28237
TCFL5,-0.1,0.52279
PLEKHJ1,-0.15,0.19029
LRRC41,-0.05,0.69066
NET1,-0.05,0.82732000000000006
HLA-DMA,-0.51,0.25656
BACE2,0.24,0.38786
RAI14,-0.36,0.19232
KLHDC2,0.08,0.554
SH3BP5,0.04,0.79197
LRP10,-0.16,0.47562
TM9SF2,0.15,0.20764
ENOSF1,-0.56,0.12382
ALAS1,0.17,0.34337
ATP6V0B,0.18,0.31745
ST6GALNAC2,NA,NA
FZD7,-0.47,0.1357
BAG3,-0.46,0.25869
NFKBIA,-0.04,0.86332
S100A13,-0.17,0.41306
NISCH,0.26,0.06255
DUSP14,0.22,0.0672
HS2ST1,-0.27,0.24326
MPZL1,0.08,0.47724
PRKACA,0.21,0.239
CDK19,-0.19,0.30143
MBOAT7,0.1,0.47619
LGALS8,0.05,0.67262
RALGDS,-0.6,0.03944
RASA1,0.23,0.11807
CSNK1A1,-0.33,0.03171
NOLC1,0.31,0.00771
HES1,-0.25,0.37928
INTS3,0.03,0.72743
DHDDS,0.19,0.13768
UBQLN2,0.16,0.13613
MAPKAPK5,-0.05,0.74878
ASCC3,-0.06,0.60889
HMGCS1,0.17,0.24808
CEBPD,-0.62,0.05715
RTN2,0.26,0.10822
PLEKHM1,-0.14,0.36276
B4GAT1,0.31,0.14158
RNPS1,0.13,0.14437
PRPF4,0.02,0.8596
LSM6,-0.12,0.40338
RFNG,-0.18,0.07717
PYGL,-0.29,0.29023
FGFR2,-0.41,0.06369
MMP2,0.17,0.43649
LRPAP1,0.16,0.32586
WASF3,0.2,0.04462
CRK,0.1,0.25632
MSH6,-0.25,0.07419
