HGNC_Symbol,LFC,p
CFLAR,0.08,0.42515
CAT,0.03,0.75457
DCTD,0.06,0.52561
CYB561,0.06,0.44275
PRKX,NA,NA
RGS2,-0.12,0.24853
CLTB,0.02,0.82233
UBE2A,NA,NA
TMEM97,-0.1,0.32536
DNAJB6,0.11,0.42984
P4HTM,-0.03,0.71503
TSPAN6,NA,NA
NENF,0.13,0.2765
TLR4,-0.07,0.39495
CRELD2,-0.04,0.55173
KIT,0.05,0.64133
HPRT1,NA,NA
CTSL,0.08,0.63903
SKP1,0.1,0.64803
RRAGA,0.01,0.91219
SMARCC1,0.01,0.94158
UBE2J1,0,0.97887
GNAS,0.03,0.77232
NUDT9,-0.03,0.72391
GSTM2,-0.09,0.29693
CTNND1,0,0.99294
REEP5,0,0.97579
SLC35A3,0.06,0.44227
RRP8,0.09,0.28264
CTNNAL1,0.05,0.37368
WDTC1,-0.04,0.65689
C2CD2,-0.02,0.82937
ABCF3,0.08,0.28269
ATMIN,0.06,0.55226
KLHL9,0.03,0.68793
TNFRSF21,-0.15,0.04477
ZDHHC6,-0.06,0.55248
METRN,0.1,0.27899
THAP11,0.03,0.75714
TCFL5,-0.07,0.36547
PLEKHJ1,NA,NA
LRRC41,0,0.97206
NET1,-0.03,0.76778
HLA-DMA,0.12,0.31735
BACE2,0.08,0.43793
RAI14,0.08,0.35379
KLHDC2,0.02,0.88737
SH3BP5,-0.03,0.67297
LRP10,0,0.98974
TM9SF2,-0.08,0.5096
ENOSF1,0.1,0.1362
ALAS1,0.09,0.20777
ATP6V0B,-0.26,0.18502
ST6GALNAC2,NA,NA
FZD7,0.03,0.69527
BAG3,0.04,0.69947
NFKBIA,-0.13,0.14067
S100A13,NA,NA
NISCH,-0.01,0.91561
DUSP14,0.05,0.57018
HS2ST1,0.14,0.11942
MPZL1,0,0.98297
PRKACA,-0.02,0.81992
CDK19,-0.03,0.76674
MBOAT7,NA,NA
LGALS8,0.01,0.85855
RALGDS,NA,NA
RASA1,0.06,0.67122
CSNK1A1,NA,NA
NOLC1,0.01,0.93847
HES1,-0.02,0.8637
INTS3,-0.02,0.81994
DHDDS,-0.01,0.86183
UBQLN2,NA,NA
MAPKAPK5,-0.02,0.8016
ASCC3,-0.02,0.78295
HMGCS1,0.21,0.15056
CEBPD,0.14,0.24908
RTN2,0,0.96168
PLEKHM1,-0.1,0.19203
B4GAT1,0.06,0.65721
RNPS1,0.16,0.19218
PRPF4,-0.14,0.14578
LSM6,-0.13,0.4792
RFNG,0.07,0.49582
PYGL,-0.01,0.93856
FGFR2,-0.06,0.49485
MMP2,-0.05,0.56622
LRPAP1,0.02,0.81921
WASF3,0.07,0.50529
CRK,0.08,0.44193
MSH6,0.08,0.44085
KLHL21,0.04,0.57069
GLRX,0.07,0.52089
EBP,NA,NA
SYNE2,0.02,0.66537
SLC35F2,-0.09,0.27089
CDKN1A,0.01,0.95415
EPHA3,-0.02,0.73512
ABL1,-0.01,0.89986
TP53BP1,-0.02,0.79455
TCEA2,0.02,0.87631
STX1A,0.03,0.81931
CISD1,0.18,0.29208
COL1A1,0.03,0.63983
KCTD5,0.02,0.78288
PTK2,0.07,0.56139
TERF2IP,-0.03,0.8399
DECR1,0.12,0.3012
SNX11,0.02,0.73891
EBNA1BP2,0.07,0.4775
BCL7B,0.09,0.41168
FDFT1,0,0.97437
DNAJB1,-0.09,0.57242
NPC1,-0.06,0.52429
SNCA,0.07,0.64534
PSME2,0.12,0.13889
PSIP1,0.15,0.53156
COG2,-0.08,0.40639
RALA,0.13,0.20101
RPA2,0.07,0.57266
SCP2,-0.03,0.66999
NCK2,-0.12,0.12721
CDK6,0.06,0.39613
CDC42,-0.11,0.35121
ADO,-0.02,0.73889
JUN,0.09,0.2562
TMCO1,-0.11,0.41449
TSPAN4,0.01,0.88535
HSPA1A,0.25,0.68339
RAD51C,0.04,0.63224
ITGAE,0.03,0.70524
EGFR,-0.03,0.67467
PRR7,0.01,0.95302
SLC25A4,0.1,0.46833
FKBP4,0.09,0.52451
EIF5,-0.09,0.56681
SYPL1,-0.01,0.92847
ACAT2,0.17,0.22222
RAB4A,-0.04,0.60807
RNF167,0.03,0.70788
PSMD10,NA,NA
TESK1,0,0.98663
BAMBI,-0.09,0.22528
CRKL,0.1,0.23695
UTP14A,NA,NA
EAPP,0.04,0.64617
PLSCR1,-0.05,0.54117
CIAPIN1,0.03,0.81221
SMNDC1,0.29,0.09803
ARHGEF12,-0.02,0.86062
MPC2,0.03,0.68971
CDC25B,0.07,0.46604
INPP1,0.03,0.73044
CYCS,-0.05,0.81198
CALM3,0.16,0.57877
CAB39,0.12,0.29858
IER3,0.07,0.50798
HSPD1,-0.05,0.80302
PIK3C2B,0.03,0.67601
FIS1,0.09,0.36309
DLD,-0.02,0.82776
MALT1,0.1,0.21286
TPD52L2,-0.06,0.48126
ACD,0,0.95322
NUCB2,0.11,0.28274
PMAIP1,0,0.96826
GTF2A2,-0.1,0.32585
ITFG1,0.09,0.36607
KTN1,0.09,0.56789
USP7,0.2,0.20097
SNX6,0.01,0.9281
DNTTIP2,0.04,0.80067
PSMD9,0.07,0.27309
MYCBP,NA,NA
PIH1D1,0.01,0.92692
LAGE3,NA,NA
CLSTN1,0.1,0.45129
ARID5B,-0.01,0.94217
PDLIM1,-0.06,0.47594
GPC1,0.06,0.43588
SCARB1,-0.08,0.18066
MVP,-0.05,0.47928
NUP93,0.08,0.40881
GADD45B,-0.02,0.8695
ASAH1,0.01,0.92583
SOX2,0.04,0.69971
PDGFA,0.03,0.72648
ATP6V1D,0.02,0.91354
VDAC1,0.04,0.7903
MKNK1,0.02,0.80269
LPGAT1,0.03,0.67518
LYRM1,-0.16,0.18527
NR3C1,0.02,0.79041
COG7,0.03,0.63086
ACLY,-0.02,0.84916
UGDH,-0.05,0.54656
PCMT1,-0.01,0.95857
USP14,0.05,0.4888
PNKP,-0.01,0.93011
MLLT11,0.06,0.58863
PSRC1,0.01,0.87745
MAPK9,0.1,0.59642
IGF2BP2,0.08,0.44496
NUP133,0.02,0.72117
TXLNA,-0.15,0.04135
DCUN1D4,0.15,0.32322
ECH1,NA,NA
NRAS,0,0.9486
TBC1D31,-0.01,0.90378
NPRL2,-0.01,0.88971
ITGB5,0.03,0.75078
STXBP1,0.12,0.6398
VAT1,-0.03,0.62501
DNAJB2,0.07,0.27571
KDM5B,-0.12,0.08469
ELOVL6,0.05,0.51019
GATA2,-0.03,0.71504
DFFB,-0.01,0.90721
POLR2K,0.15,0.29602
PSMD2,0.05,0.58413
GRN,-0.05,0.60192
TRAM2,0.03,0.67799
TMEM50A,-0.08,0.59517
GLOD4,-0.01,0.8821
SCCPDH,0.03,0.73867
CCNE2,-0.03,0.73801
YME1L1,-0.11,0.25975
HSD17B11,0.11,0.34857
TES,0.09,0.4587
GNA11,0.03,0.73187
DUSP3,-0.01,0.89811
STX4,0.03,0.66855
UBE2L6,0.03,0.75328
MAP7,-0.03,0.73756
TRIM2,0.09,0.34356
AKAP8,0.07,0.4503
BLVRA,0.05,0.6045
XPNPEP1,-0.06,0.41863
RAB21,0.1,0.35982
HTATSF1,NA,NA
PLA2G4A,0.03,0.53979
MBNL1,0.04,0.70247
NOSIP,0.03,0.82813
ATP2C1,0.04,0.72878
PHKA1,NA,NA
GRB10,-0.12,0.2036
RBKS,0,0.97367
PHKB,0.02,0.77807
ANO10,-0.05,0.5996
CHIC2,0.14,0.08918
PHGDH,0.02,0.76139
TCEAL4,NA,NA
POP4,0.07,0.438
TIMP2,0.04,0.73046
ARHGEF2,-0.02,0.8121
CRYZ,0.02,0.85966
EVL,0.02,0.74938
CIRBP,0.15,0.47881
MTFR1,0.03,0.61669
RPL39L,-0.01,0.85194
MAP3K4,-0.08,0.35285
CREG1,-0.05,0.54998
PAF1,-0.04,0.6556
CSNK2A2,0.04,0.66741
JADE2,-0.08,0.26762
HMGCR,-0.06,0.57732000000000006
ZMYM2,0.13,0.29834
RPN1,0.02,0.83511
CANT1,-0.01,0.95038
TRAPPC3,-0.01,0.91124
TOMM34,0.01,0.90043
KAT6B,0,0.97966
ITGB1BP1,0.04,0.69488
SLC27A3,0.05,0.52198
MFSD10,-0.02,0.76727
HSPB1,0.11,0.27283
SLC25A46,0.04,0.61661
NRIP1,0.06,0.6275
CRTAP,0.02,0.78802
NNT,0.02,0.83072
