HGNC_Symbol,LFC,p
CFLAR,0.05,7e-5
CAT,0,0.98509
DCTD,-0.03,0.33981
CYB561,0.01,0.59592
PRKX,0.07,0.12648
RGS2,-0.06,0.24888
CLTB,-0.03,0.23202
UBE2A,-0.02,0.51237
TMEM97,-0.03,0.39676
DNAJB6,-0.04,0.26118
P4HTM,0.01,0.83779
TSPAN6,0.02,0.36101
NENF,0,0.99278
TLR4,0.02,0.46468
CRELD2,0.04,0.32437
KIT,-0.03,0.59594
HPRT1,-0.03,0.61697
CTSL,-0.03,0.36854
SKP1,-0.07,0.03805
RRAGA,-0.08,0.26551
SMARCC1,0,0.91788
UBE2J1,0.01,0.49646
GNAS,-0.02,0.23993
NUDT9,-0.08,0.06532
GSTM2,0.09,0.10193
CTNND1,-0.03,0.20462
REEP5,-0.11,0.02373
SLC35A3,0.05,0.11054
RRP8,0.02,0.12311
CTNNAL1,0.02,0.69247
WDTC1,0,0.96829
C2CD2,0.01,0.5796
ABCF3,-0.01,0.76314
ATMIN,-0.01,0.88677
KLHL9,0.02,0.70634
TNFRSF21,0.02,0.57116
ZDHHC6,-0.02,0.53726
METRN,0.06,0.01182
THAP11,-0.01,0.78443
TCFL5,-0.02,0.65618
PLEKHJ1,0.01,0.90324
LRRC41,0.02,0.38577
NET1,0,0.97951
HLA-DMA,-0.06,0.11254
BACE2,0.01,0.79357
RAI14,0.01,0.83439
KLHDC2,-0.1,0.07532
SH3BP5,0.02,0.62186
LRP10,0.05,0.22832
TM9SF2,-0.07,0.27956
ENOSF1,0.05,0.26104
ALAS1,-0.06,0.14104
ATP6V0B,-0.08,0.23871
ST6GALNAC2,-0.03,0.4341
FZD7,0.03,0.30124
BAG3,0.13,0.18171
NFKBIA,0.09,0.24494
S100A13,-0.02,0.69552
NISCH,0.07,0.39705
DUSP14,-0.03,0.53667
HS2ST1,-0.02,0.34862
MPZL1,0,0.96619
PRKACA,0.02,0.32841
CDK19,0.02,0.4677
MBOAT7,0,0.98978
LGALS8,-0.01,0.46437
RALGDS,0.05,0.19634
RASA1,0.01,0.9068
CSNK1A1,0,0.99228
NOLC1,-0.03,0.38522
HES1,0,0.92799
INTS3,0.02,0.5135
DHDDS,0.02,0.72009
UBQLN2,-0.03,0.65475
MAPKAPK5,-0.01,0.80339
ASCC3,0.02,0.54358
HMGCS1,-0.05,0.20009
CEBPD,0.04,0.30096
RTN2,-0.03,0.50033
PLEKHM1,NA,NA
B4GAT1,-0.06,0.11856
RNPS1,-0.01,0.91034
PRPF4,0.03,0.42729
LSM6,-0.01,0.82453
RFNG,0.05,0.18649
PYGL,0.04,0.1783
FGFR2,0,0.89755
MMP2,0.02,0.23525
LRPAP1,-0.04,0.43565
WASF3,-0.01,0.84109
CRK,-0.03,0.38113
MSH6,0.02,0.40087
KLHL21,-0.03,0.61742
GLRX,-0.06,0.20105
EBP,-0.05,0.10299
SYNE2,0,0.92554
SLC35F2,0.08,0.11071
CDKN1A,0.17,0.08039
EPHA3,-0.02,0.40044
ABL1,0,0.98672
TP53BP1,-0.03,0.35084
TCEA2,-0.01,0.77591
STX1A,-0.04,0.61028
CISD1,-0.03,0.67066
COL1A1,0.01,0.76986
KCTD5,0.06,0.09972
PTK2,0,0.96747
TERF2IP,-0.06,0.33197
DECR1,0.02,0.54383
SNX11,-0.04,0.27906
EBNA1BP2,-0.12,0.14827
BCL7B,-0.04,0.5048
FDFT1,-0.04,0.26688
DNAJB1,-0.04,0.40653
NPC1,0.01,0.69825
SNCA,0.02,0.50283
PSME2,0.01,0.88731
PSIP1,0.01,0.72279
COG2,0.02,0.23371
RALA,-0.03,0.3512
RPA2,-0.04,0.30506
SCP2,-0.03,0.34815
NCK2,-0.01,0.49256
CDK6,0.02,0.33294
CDC42,-0.02,0.42271
ADO,-0.07,0.02622
JUN,0,0.8746
TMCO1,NA,NA
TSPAN4,0.06,0.10813
HSPA1A,-0.07,0.14643
RAD51C,-0.06,0.15361
ITGAE,-0.06,0.35334
EGFR,0.02,0.22826
PRR7,0.05,0.27629
SLC25A4,-0.07,0.31108
FKBP4,-0.09,0.08552
EIF5,-0.09,0.00315
SYPL1,0.01,0.83289
ACAT2,-0.06,0.05414
RAB4A,-0.04,0.07661
RNF167,0,0.98124
PSMD10,-0.05,0.27416
TESK1,0.01,0.83847
BAMBI,0,0.95604
CRKL,-0.03,0.34466
UTP14A,-0.02,0.33478
EAPP,-0.05,0.17805
PLSCR1,0.04,0.09158
CIAPIN1,NA,NA
SMNDC1,-0.02,0.46781
ARHGEF12,0,0.80788
MPC2,-0.06,0.3165
CDC25B,-0.04,0.3742
INPP1,-0.02,0.6873
CYCS,-0.02,0.67701
CALM3,-0.02,0.59036
CAB39,-0.15,0.05709
IER3,0.09,0.26443
HSPD1,-0.06,0.27948
PIK3C2B,0.03,0.72643
FIS1,0.02,0.76502
DLD,-0.09,0.13014
MALT1,0,0.78938
TPD52L2,0.04,0.33803
ACD,NA,NA
NUCB2,-0.03,0.42608
PMAIP1,-0.02,0.37838
GTF2A2,-0.04,0.28072
ITFG1,-0.06,0.07057
KTN1,0.03,0.48023
USP7,-0.03,0.38263
SNX6,-0.02,0.72442
DNTTIP2,0.04,0.2325
PSMD9,-0.03,0.38881
MYCBP,0.01,0.65095
PIH1D1,-0.08,0.12754
LAGE3,-0.02,0.50539
CLSTN1,0.01,0.80958
ARID5B,0.02,0.42227
PDLIM1,0.03,0.56166
GPC1,0.01,0.70124
SCARB1,0.01,0.51537
MVP,0.02,0.64385
NUP93,-0.06,0.30456
GADD45B,0.07,0.0797
ASAH1,0,0.91701
SOX2,0.05,0.04229
PDGFA,0.05,0.0344
ATP6V1D,-0.05,0.12595
VDAC1,-0.09,0.1645
MKNK1,0.08,0.12035
LPGAT1,-0.04,0.2676
LYRM1,NA,NA
NR3C1,-0.05,0.05804
COG7,-0.02,0.26824
ACLY,-0.06,0.10336
UGDH,0.01,0.86035
PCMT1,-0.09,0.07992
USP14,0.02,0.70243
PNKP,-0.04,0.35066
MLLT11,-0.07,0.37695
PSRC1,0.03,0.76826
MAPK9,-0.08,0.05883
IGF2BP2,0.06,0.20776
NUP133,0.03,0.38265
TXLNA,0.03,0.5804
DCUN1D4,-0.01,0.67835
ECH1,0.04,0.54151
NRAS,0.01,0.83584
TBC1D31,0,0.9992
NPRL2,0,0.9464
ITGB5,0,0.82395
STXBP1,-0.06,0.36863
VAT1,-0.03,0.35369
DNAJB2,-0.04,0.65946
KDM5B,-0.03,0.16032
ELOVL6,-0.01,0.77539
GATA2,0.05,0.00572
DFFB,0.01,0.60244
POLR2K,-0.01,0.78874
PSMD2,-0.07,0.21794
GRN,0.01,0.84002
TRAM2,0.01,0.61948
TMEM50A,0.01,0.81887
GLOD4,-0.05,0.27771
SCCPDH,0,0.97666
CCNE2,0.01,0.55443
YME1L1,-0.05,0.15671
HSD17B11,0,0.9661
TES,0,0.8379
GNA11,0.01,0.65654
DUSP3,-0.06,0.07893
STX4,-0.09,0.14154
UBE2L6,0.04,0.34308
MAP7,-0.01,0.84762
TRIM2,0.01,0.66346
AKAP8,0.03,0.42613
BLVRA,-0.06,0.03529
XPNPEP1,0,0.89005
RAB21,-0.03,0.39982
HTATSF1,-0.02,0.66475
PLA2G4A,-0.03,0.285
MBNL1,0,0.98298
NOSIP,-0.04,0.05528
ATP2C1,-0.02,0.58188
PHKA1,0,0.96689
GRB10,0.01,0.58418
RBKS,-0.01,0.84454
PHKB,0.01,0.7678
ANO10,0.01,0.77823
CHIC2,0.02,0.50768
PHGDH,0.01,0.77525
TCEAL4,-0.03,0.6769
POP4,-0.01,0.78091
TIMP2,0.01,0.84816
ARHGEF2,-0.01,0.73148
CRYZ,-0.04,0.44727
EVL,0,0.98252
CIRBP,-0.01,0.85638
MTFR1,0.04,0.1615
RPL39L,-0.04,0.26786
MAP3K4,-0.01,0.57004
CREG1,-0.08,0.10893
PAF1,-0.04,0.29048
CSNK2A2,0.05,0.25412
JADE2,0.01,0.60021
HMGCR,-0.07,0.22142
ZMYM2,0.06,0.08641
RPN1,-0.01,0.78102
CANT1,NA,NA
TRAPPC3,-0.02,0.49089
TOMM34,0.02,0.59417
KAT6B,0.05,0.02425
ITGB1BP1,-0.03,0.52694
SLC27A3,0.08,0.37337
MFSD10,-0.01,0.859
HSPB1,0.15,0.15248
SLC25A46,NA,NA
NRIP1,0,0.94505
CRTAP,-0.02,0.38455
NNT,0.01,0.70398
MAPKAPK3,0.03,0.259
TIMM22,0.01,0.71662
IPO13,-0.01,0.93126
GNB5,-0.05,0.16285
CD320,0.02,0.64416
