HGNC_Symbol,LFC,p
CFLAR,0.02,0.2255
CAT,-0.04,0.103
DCTD,0.01,0.5401
CYB561,0,0.9404
PRKX,0,0.8979
RGS2,0.02,0.3993
CLTB,0,0.8779
UBE2A,-0.01,0.2281
TMEM97,-0.02,0.3631
DNAJB6,-0.01,0.5974
P4HTM,-0.01,0.2608
TSPAN6,0.04,0.07926
NENF,0.01,0.4999
TLR4,0.07,0.02525
CRELD2,0.03,0.1881
KIT,0.07,0.01459
HPRT1,-0.02,0.286
CTSL,-0.01,0.5051
SKP1,-0.04,0.00144
RRAGA,-0.02,0.1001
SMARCC1,-0.02,0.1951
UBE2J1,-0.01,0.3275
GNAS,0,0.7756
NUDT9,-0.02,0.1405
GSTM2,-0.04,0.1385
CTNND1,0,0.9243
REEP5,-0.03,0.014
SLC35A3,-0.01,0.6675
RRP8,0.03,0.03269
CTNNAL1,-0.05,0.0043
WDTC1,-0.03,0.01849
C2CD2,0,0.8962
ABCF3,0,0.8806
ATMIN,-0.02,0.01959
KLHL9,-0.02,0.239
TNFRSF21,0,0.911
ZDHHC6,-0.01,0.4705
METRN,-0.04,0.05103
THAP11,-0.02,0.3197
TCFL5,-0.01,0.6685
PLEKHJ1,-0.01,0.6756
LRRC41,0,0.7963
NET1,-0.01,0.6015
HLA-DMA,-0.01,0.8771
BACE2,-0.04,0.1509
RAI14,0,0.9738
KLHDC2,-0.03,0.01081
SH3BP5,0.02,0.3163
LRP10,0,0.9786
TM9SF2,0,0.7552
ENOSF1,0.02,0.4036
ALAS1,-0.01,0.2571
ATP6V0B,-0.01,0.717
ST6GALNAC2,0.06,0.1931
FZD7,0.05,0.1145
BAG3,-0.01,0.8744
NFKBIA,-0.02,0.4293
S100A13,0.06,0.03926
NISCH,0.03,0.02864
DUSP14,-0.03,0.1719
HS2ST1,0.01,0.6072
MPZL1,-0.02,0.1893
PRKACA,-0.02,0.3619
CDK19,0,0.8622
MBOAT7,0,0.8976
LGALS8,0.01,0.5256
RALGDS,-0.01,0.5248
RASA1,0,0.8886
CSNK1A1,0,0.6612
NOLC1,0,0.8882
HES1,-0.04,0.3708
INTS3,0.02,0.09477
DHDDS,-0.01,0.2798
UBQLN2,-0.01,0.5097
MAPKAPK5,0.01,0.4774
ASCC3,0,0.6845
HMGCS1,-0.04,0.1788
CEBPD,-0.02,0.5069
RTN2,-0.03,0.07649
PLEKHM1,0.03,0.04538
B4GAT1,0.01,0.5756
RNPS1,0.02,0.2162
PRPF4,-0.01,0.4717
LSM6,-0.02,0.3125
RFNG,0.02,0.1845
PYGL,0,0.9118
FGFR2,-0.04,0.01264
MMP2,0.02,0.6869
LRPAP1,0.02,0.2054
WASF3,0,0.8267
CRK,0,0.9035
MSH6,0,0.8298
KLHL21,-0.02,0.3255
GLRX,-0.07,0.01001
EBP,-0.03,0.1999
SYNE2,0,0.9326
SLC35F2,0.11,1.1e-4
CDKN1A,0.01,0.8287
EPHA3,0.06,0.00203
ABL1,-0.01,0.5531
TP53BP1,-0.01,0.2123
TCEA2,0.03,0.01509
STX1A,0.05,0.00327
CISD1,-0.03,0.01923
COL1A1,NA,NA
KCTD5,0,0.9631
PTK2,-0.02,0.02638
TERF2IP,-0.02,0.1409
DECR1,-0.01,0.6744
SNX11,-0.01,0.6198
EBNA1BP2,0,0.7291
BCL7B,0.01,0.56
FDFT1,-0.01,0.5561
DNAJB1,0,0.9099
NPC1,0.02,0.2525
SNCA,0,0.7791
PSME2,0,0.8913
PSIP1,-0.02,0.0429
COG2,0,0.923
RALA,-0.01,0.4769
RPA2,0,0.9459
SCP2,-0.01,0.3126
NCK2,0.02,0.1287
CDK6,0.03,0.08385
CDC42,-0.02,0.1602
ADO,-0.01,0.3529
JUN,-0.04,0.254
TMCO1,-0.01,0.2044
TSPAN4,-0.01,0.8267
HSPA1A,0.01,0.8616
RAD51C,0,0.8744
ITGAE,-0.05,0.02452
EGFR,-0.04,0.2091
PRR7,0.01,0.6909
SLC25A4,0,0.8261
FKBP4,-0.02,0.3385
EIF5,-0.03,0.04545
SYPL1,-0.02,0.214
ACAT2,-0.06,0.01913
RAB4A,-0.02,0.174
RNF167,0.02,0.1604
PSMD10,0.01,0.497
TESK1,0.02,0.2068
BAMBI,0,0.9233
CRKL,-0.03,0.00508
UTP14A,-0.04,0.09112
EAPP,-0.01,0.293
PLSCR1,0.02,0.5807
CIAPIN1,-0.02,0.06466
SMNDC1,-0.01,0.5354
ARHGEF12,-0.02,0.01408
MPC2,0.01,0.2303
CDC25B,-0.03,0.07278
INPP1,0,0.8856
CYCS,-0.01,0.5734
CALM3,0.02,0.2151
CAB39,-0.02,0.00842
IER3,-0.09,0.09982
HSPD1,-0.03,0.09934
PIK3C2B,-0.01,0.6502
FIS1,-0.03,0.05286
DLD,-0.03,0.1006
MALT1,0.01,0.5408
TPD52L2,0,0.883
ACD,-0.03,0.07514
NUCB2,0.01,0.5711
PMAIP1,NA,NA
GTF2A2,-0.06,0.00405
ITFG1,-0.02,0.1666
KTN1,-0.02,0.1293
USP7,-0.01,0.2849
SNX6,0.01,0.2171
DNTTIP2,-0.01,0.5706
PSMD9,0.02,0.1152
MYCBP,0.01,0.4523
PIH1D1,0.01,0.4501
LAGE3,-0.02,0.2313
CLSTN1,-0.03,0.01962
ARID5B,-0.02,0.1188
PDLIM1,NA,NA
GPC1,0.02,0.1285
SCARB1,0.03,0.1173
MVP,0,0.8807
NUP93,0.01,0.6793
GADD45B,-0.02,0.7333
ASAH1,0.03,0.5454
SOX2,0.06,0.01188
PDGFA,-0.04,0.01915
ATP6V1D,-0.02,0.2026
VDAC1,-0.02,0.0893
MKNK1,0,0.9443
