HGNC_Symbol,LFC,p
CFLAR,-0.15,0.31217
CAT,0.19,0.20688
DCTD,0.15,0.064
CYB561,0.03,0.80021
PRKX,-0.09,0.75538
RGS2,-0.04,0.88872
CLTB,0.22,0.16294
UBE2A,0.03,0.75477
TMEM97,-0.11,0.33429
DNAJB6,0.13,0.48441
P4HTM,0.06,0.52235
TSPAN6,0.01,0.95027
NENF,-0.28,0.35283
TLR4,0.22,0.39902
CRELD2,0.05,0.8232
KIT,0.34,0.09653
HPRT1,0.2,0.27496
CTSL,0.08,0.50364
SKP1,0.12,0.131
RRAGA,-0.06,0.64469
SMARCC1,0.76,0.05157
UBE2J1,-0.26,0.01288
GNAS,0.18,0.03639
NUDT9,0.18,0.12307
GSTM2,0.09,0.71207
CTNND1,-0.09,0.54133
REEP5,0,0.98005
SLC35A3,-0.17,0.19217
RRP8,-0.15,0.28488
CTNNAL1,-0.03,0.80366
WDTC1,-0.03,0.80586
C2CD2,0.04,0.71785
ABCF3,-0.08,0.41162
ATMIN,0.08,0.45666
KLHL9,0.07,0.46814
TNFRSF21,-0.03,0.84991
ZDHHC6,-0.09,0.16481
METRN,0.04,0.87765
THAP11,-0.08,0.37631
TCFL5,-0.05,0.66669
PLEKHJ1,0.16,0.17858
LRRC41,-0.14,0.05172
NET1,-0.05,0.76317
HLA-DMA,-0.6,0.19888
BACE2,-0.21,0.26073
RAI14,-0.07,0.76795
KLHDC2,0.07,0.59937
SH3BP5,-0.25,0.13675
LRP10,-0.11,0.62322
TM9SF2,0.08,0.48147
ENOSF1,-0.29,0.16893
ALAS1,-0.14,0.51159
ATP6V0B,0.18,0.33525
ST6GALNAC2,NA,NA
FZD7,-0.09,0.72597
BAG3,-0.59,0.15172
NFKBIA,-0.34,0.09098
S100A13,0,0.99162
NISCH,0.13,0.15883
DUSP14,-0.04,0.78849
HS2ST1,0.12,0.49245
MPZL1,-0.09,0.48525
PRKACA,-0.24,0.12047
CDK19,-0.19,0.19233
MBOAT7,0.44,7e-5
LGALS8,0.14,0.23526
RALGDS,-0.44,0.02368
RASA1,-0.03,0.78136
CSNK1A1,0.12,0.46346
NOLC1,-0.16,0.22986
HES1,0.38,0.13445
INTS3,0.13,0.13967
DHDDS,0.05,0.65355
UBQLN2,-0.08,0.39213
MAPKAPK5,0.17,0.22852
ASCC3,-0.28,0.05187
HMGCS1,-0.26,0.28953
CEBPD,-0.35,0.20684
RTN2,0.16,0.05324
PLEKHM1,0.09,0.39432
B4GAT1,0.03,0.86418
RNPS1,-0.03,0.72751
PRPF4,-0.23,0.02105
LSM6,-0.15,0.24646
RFNG,0.25,0.05932
PYGL,0.05,0.85229
FGFR2,-0.31,0.07247
MMP2,0.2,0.40312
LRPAP1,0.06,0.64973
WASF3,0.23,0.03507
CRK,-0.02,0.84171
MSH6,-0.14,0.0206
KLHL21,-0.03,0.84404
GLRX,-0.37,0.12104
EBP,-0.07,0.53759
SYNE2,0.04,0.78948
SLC35F2,-0.14,0.37611
CDKN1A,-0.44,0.36054
EPHA3,0,0.98858
ABL1,-0.13,0.40525
TP53BP1,-0.01,0.94582
TCEA2,0.13,0.29228
STX1A,0.31,0.05689
CISD1,0.89,0.00261
COL1A1,-0.23,0.54879
KCTD5,-0.13,0.23115
PTK2,-0.34,0.01412
TERF2IP,0.07,0.42906
DECR1,0.06,0.74426
SNX11,-0.11,0.61934
EBNA1BP2,0.04,0.75999
BCL7B,0.15,0.1105
FDFT1,-0.1,0.28365
DNAJB1,-0.42,0.29417
NPC1,-0.73,0.01116
SNCA,0.12,0.59381
PSME2,-0.47,0.3879
PSIP1,0,0.97903
COG2,-0.08,0.31252
RALA,0.07,0.56737
RPA2,-0.09,0.21747
SCP2,0.05,0.45345
NCK2,0.12,0.1899
CDK6,-0.4,0.02306
CDC42,0.23,0.0347
ADO,-0.14,0.25002
JUN,-0.39,0.04875
TMCO1,0.16,0.20968
TSPAN4,0.06,0.76211
HSPA1A,-0.3,0.42867
RAD51C,0.23,0.09771
ITGAE,0.09,0.28188
EGFR,-0.17,0.51881
PRR7,0.22,0.22776
SLC25A4,0.23,0.23504
FKBP4,0.08,0.58989
EIF5,-0.07,0.69291
SYPL1,-0.32,0.10054
ACAT2,0.11,0.34477
RAB4A,0.24,0.0194
RNF167,-0.01,0.96375
PSMD10,0.02,0.79497
TESK1,0.27,0.03036
BAMBI,-0.13,0.30542
CRKL,-0.04,0.85482
UTP14A,0.03,0.86917
EAPP,-0.12,0.23425
PLSCR1,-0.94,0.05587
CIAPIN1,0.17,0.27632
SMNDC1,-0.19,0.1241
ARHGEF12,0.05,0.60829
MPC2,0.28,0.02775
CDC25B,-0.03,0.85035
INPP1,-0.34,0.01819
CYCS,0.14,0.12575
CALM3,0.09,0.48963
CAB39,0.15,0.26793
IER3,-0.08,0.77286
HSPD1,0.36,0.02523
PIK3C2B,-0.64,0.02802
FIS1,-0.04,0.77528
DLD,0.02,0.83804
MALT1,0.09,0.54206
TPD52L2,0.02,0.83635
ACD,-0.07,0.61842
NUCB2,0.03,0.80263
PMAIP1,0.07,0.80106
GTF2A2,-0.32,0.04069
ITFG1,0.18,0.40369
KTN1,0.06,0.71523
USP7,0.02,0.85013
SNX6,-0.15,0.42389
DNTTIP2,-0.29,0.03198
PSMD9,0.02,0.86557
MYCBP,-0.02,0.89935
PIH1D1,0.06,0.50464
LAGE3,0.23,0.02727
CLSTN1,0.14,0.32195
ARID5B,-0.31,0.01827
PDLIM1,-0.57,0.15027
GPC1,0.13,0.1821
SCARB1,-0.16,0.38308
MVP,-0.38,0.28178
NUP93,-0.09,0.64568
GADD45B,-1.35,0.09954
ASAH1,-0.01,0.94595
SOX2,0.6,0.09552
PDGFA,0.04,0.64624
ATP6V1D,0.09,0.41599
VDAC1,0.07,0.67297
MKNK1,-0.01,0.89839
LPGAT1,-0.19,0.23843
LYRM1,0.21,0.00558
NR3C1,-0.3,0.04869
COG7,-0.1,0.58171
ACLY,0.19,0.0861
UGDH,-0.15,0.35885
PCMT1,0.08,0.64809
USP14,-0.4,0.0079
PNKP,0.08,0.41317
MLLT11,0.09,0.53966
PSRC1,-0.33,0.02274
MAPK9,0.12,0.51305
IGF2BP2,-0.33,0.15085
NUP133,-0.03,0.62125
TXLNA,-0.18,0.05609
DCUN1D4,0.04,0.71922
ECH1,0.17,0.27588
NRAS,0.08,0.70194
TBC1D31,0.09,0.4272
NPRL2,0.11,0.38754
ITGB5,0,0.99095
STXBP1,-0.01,0.93049
VAT1,0.02,0.88626
DNAJB2,-0.06,0.52649
KDM5B,0.05,0.68321
ELOVL6,0.02,0.91612
GATA2,-0.16,0.40011
DFFB,0.12,0.3046
POLR2K,-0.08,0.28157
PSMD2,0.09,0.22541
GRN,0.03,0.83941
TRAM2,0.08,0.6885
TMEM50A,-0.23,0.04341
GLOD4,-0.03,0.7965
SCCPDH,0.07,0.46704
CCNE2,-0.45,0.0319
YME1L1,0.09,0.3672
HSD17B11,-0.12,0.28739
TES,-0.29,0.17691
GNA11,0.05,0.59229
DUSP3,-0.07,0.50979
STX4,0.11,0.27833
UBE2L6,-0.29,0.48667
MAP7,-0.22,0.15865
TRIM2,0.68,0.02279
