HGNC_Symbol,LFC,p
CFLAR,0.12,0.36403
CAT,0.1,0.49627
DCTD,0.03,0.41878
CYB561,-0.05,0.64605
PRKX,0.43,0.01852
RGS2,0.2,0.37058
CLTB,0.05,0.34429
UBE2A,0.02,0.71668
TMEM97,0.06,0.65783
DNAJB6,0.08,0.61166
P4HTM,-0.1,0.20321
TSPAN6,0,0.90522
NENF,0.07,0.53996
TLR4,0.13,0.5809
CRELD2,-0.01,0.92881
KIT,-0.07,0.73787
HPRT1,0.15,0.66971
CTSL,-0.02,0.86761
SKP1,-0.02,0.80184
RRAGA,0.03,0.75534
SMARCC1,-0.02,0.69792
UBE2J1,0.01,0.317
GNAS,0.05,0.63341
NUDT9,-0.03,0.78739
GSTM2,-0.1,0.44038
CTNND1,-0.04,0.40416
REEP5,-0.05,0.61318
SLC35A3,-0.1,0.47786
RRP8,0.09,0.28484
CTNNAL1,0,0.98922
WDTC1,0,0.52387
C2CD2,0.2,0.06264
ABCF3,0.11,0.27577
ATMIN,-0.04,0.67963
KLHL9,-0.06,0.68647
TNFRSF21,0.05,0.66277
ZDHHC6,0.1,0.10161
METRN,-0.18,0.41829
THAP11,0.01,0.88483
TCFL5,0.05,0.4532
PLEKHJ1,-0.06,0.46545
LRRC41,0,0.48608
NET1,-0.18,0.25659
HLA-DMA,-0.01,0.93124
BACE2,0.24,0.29307
RAI14,0.16,0.55897
KLHDC2,-0.03,0.82407
SH3BP5,-0.03,0.80685
LRP10,0.1,0.50369
TM9SF2,-0.05,0.60512
ENOSF1,0.11,0.5814
ALAS1,0.01,0.92841
ATP6V0B,-0.1,0.44028
ST6GALNAC2,0.06,0.71335
FZD7,0.03,0.81714
BAG3,0.5,0.10916
NFKBIA,0.12,0.46129
S100A13,0.05,0.57271
NISCH,-0.01,0.5121
DUSP14,0.07,0.66122
HS2ST1,0.04,0.51266
MPZL1,-0.11,0.3386
PRKACA,-0.01,0.89219
CDK19,-0.01,0.746
MBOAT7,0.09,0.46248
LGALS8,0.1,0.31796
RALGDS,0.06,0.65373
RASA1,0.02,0.86576
CSNK1A1,0.09,0.43881
NOLC1,-0.01,0.77923
HES1,-0.28,0.21813
INTS3,-0.12,0.561
DHDDS,0.13,0.56572
UBQLN2,-0.07,0.55394
MAPKAPK5,-0.02,0.92459
ASCC3,-0.05,0.23653
HMGCS1,-0.18,0.24444
CEBPD,0.28,0.40621
RTN2,-0.03,0.7747
PLEKHM1,-0.11,0.52293
B4GAT1,-0.13,0.41257
RNPS1,-0.09,0.39636
PRPF4,-0.1,0.33599
LSM6,0.11,0.23052
RFNG,-0.14,0.25569
PYGL,0.3,0.05924
FGFR2,-0.05,0.42696
MMP2,0.04,0.69909
LRPAP1,-0.06,0.59922
WASF3,0.07,0.44117
CRK,0.05,0.62219
MSH6,0.13,0.5025
KLHL21,0.36,0.05513
GLRX,0.36,0.13114
EBP,-0.13,0.32318
SYNE2,-0.03,0.42502
SLC35F2,0.01,0.92241
CDKN1A,0.39,0.34824
EPHA3,-0.15,0.46944
ABL1,0.06,0.55601
TP53BP1,-0.08,0.44438
TCEA2,-0.26,0.41476
STX1A,-0.28,0.08619
CISD1,-0.04,0.73065
COL1A1,-0.5,0.1255
KCTD5,0.07,0.80331
PTK2,0.03,0.71079
TERF2IP,-0.04,0.53053
DECR1,0.23,0.11513
SNX11,0.01,0.5006
EBNA1BP2,-0.05,0.63585
BCL7B,0.05,0.60419
FDFT1,0,0.54972
DNAJB1,0.23,0.31521
NPC1,0.15,0.55765
SNCA,-0.11,0.43909
PSME2,-0.14,0.18523
PSIP1,-0.01,0.60903
COG2,0,0.58366
RALA,-0.04,0.58453
RPA2,-0.08,0.34446
SCP2,-0.04,0.69762
NCK2,0.12,0.1884
CDK6,-0.05,0.63395
CDC42,-0.04,0.66994
ADO,0.01,0.26113
JUN,0.1,0.67192
TMCO1,-0.04,0.59354
TSPAN4,-0.32,0.19937
HSPA1A,0.07,0.78375
RAD51C,-0.05,0.63834
ITGAE,-0.03,0.75876
EGFR,0,0.65906
PRR7,0.05,0.66771
SLC25A4,0.1,0.46269
FKBP4,0.19,0.40507
EIF5,0.05,0.61353
SYPL1,-0.04,0.45175
ACAT2,-0.09,0.61703
RAB4A,0.06,0.55339
RNF167,-0.18,0.11965
PSMD10,-0.04,0.4736
TESK1,-0.01,0.90661
BAMBI,-0.21,0.14631
CRKL,0.05,0.63737
UTP14A,0.1,0.14222
EAPP,0.03,0.71673
PLSCR1,0.33,0.34315
CIAPIN1,-0.03,0.61967
SMNDC1,0.06,0.58718
ARHGEF12,0.02,0.30869
MPC2,0.02,0.69484
CDC25B,0,0.98732
INPP1,0,0.96549
CYCS,0.03,0.79661
CALM3,-0.03,0.65445
CAB39,-0.04,0.76313
IER3,-0.01,0.94851
HSPD1,0.03,0.61484
PIK3C2B,-0.11,0.73711
FIS1,-0.06,0.63266
DLD,-0.01,0.5488
MALT1,0.3,0.13873
TPD52L2,0.15,0.11389
ACD,0.05,0.53701
NUCB2,0,0.8072
PMAIP1,-1.12,0.02329
GTF2A2,0.02,0.39053
ITFG1,-0.14,0.40356
KTN1,0.1,0.26326
USP7,-0.05,0.68187
SNX6,0.19,0.16725
DNTTIP2,-0.15,0.23845
PSMD9,-0.08,0.46262
MYCBP,-0.11,0.30508
PIH1D1,-0.01,0.90521
LAGE3,-0.15,0.22242
CLSTN1,-0.04,0.58464
ARID5B,0.18,0.30625
PDLIM1,0.11,0.6805
GPC1,-0.09,0.60964
SCARB1,-0.07,0.51596
MVP,-0.08,0.82973
NUP93,-0.25,0.43487
GADD45B,0.14,0.72233
ASAH1,0.02,0.74641
SOX2,0.13,0.54521
PDGFA,0.15,0.63665
ATP6V1D,-0.05,0.66315
VDAC1,0.07,0.51398
MKNK1,0.07,0.71828
LPGAT1,-0.04,0.52081
LYRM1,-0.06,0.43386
NR3C1,0.03,0.68166
COG7,-0.05,0.75031
ACLY,-0.07,0.56152
UGDH,0.23,0.14456
PCMT1,-0.07,0.68008
USP14,-0.01,0.85818
PNKP,-0.12,0.27913
MLLT11,-0.02,0.85118
PSRC1,0.26,0.01545
MAPK9,-0.07,0.62721
IGF2BP2,0.17,0.51194
NUP133,-0.2,0.29345
TXLNA,-0.06,0.64136
DCUN1D4,-0.07,0.46431
ECH1,-0.04,0.72493
NRAS,0.05,0.49465
TBC1D31,-0.22,0.1931
NPRL2,-0.44,0.09484
ITGB5,0.2,0.34905
STXBP1,-0.02,0.78297
VAT1,-0.33,0.01326
DNAJB2,0.1,0.34981
KDM5B,-0.06,0.51243
ELOVL6,-0.09,0.45097
GATA2,0.04,0.62455
DFFB,-0.11,0.5046
POLR2K,-0.03,0.76051
PSMD2,0.01,0.89325
GRN,-0.04,0.58483
TRAM2,0.04,0.50702
TMEM50A,-0.03,0.38799
GLOD4,-0.14,0.19164
SCCPDH,-0.06,0.55895
CCNE2,0.1,0.58998
YME1L1,0.1,0.51466
HSD17B11,0.04,0.72303
TES,0.06,0.28073
GNA11,-0.03,0.4496
DUSP3,-0.13,0.45252
STX4,-0.06,0.56116
UBE2L6,0.02,0.85099
MAP7,0.07,0.59586
TRIM2,-0.01,0.51871
AKAP8,-0.02,0.37046
BLVRA,-0.14,0.5095
XPNPEP1,-0.05,0.60893
RAB21,0,0.58263
HTATSF1,0.02,0.57323
PLA2G4A,0.06,0.76905
MBNL1,0.13,0.42551
NOSIP,-0.01,0.94144
ATP2C1,-0.08,0.35144
PHKA1,-0.1,0.69451
GRB10,-0.05,0.53457
RBKS,-0.07,0.528
PHKB,-0.13,0.60172
ANO10,-0.05,0.60631
CHIC2,0.12,0.2338
PHGDH,-0.11,0.08445
TCEAL4,-0.06,0.44831
POP4,-0.1,0.62939
TIMP2,-0.02,0.34722
ARHGEF2,-0.02,0.83238
CRYZ,0.06,0.70609
EVL,-0.01,0.92552
CIRBP,-0.2,0.20745
MTFR1,-0.05,0.62492
RPL39L,-0.29,0.08052
