HGNC_Symbol,LFC,p
CFLAR,-0.62,0.0832
CAT,-0.58,0.062
DCTD,0.14,0.492
CYB561,0.15,0.259
PRKX,0.29,0.27
RGS2,-0.67,0.166
CLTB,-0.25,0.244
UBE2A,0.16,0.583
TMEM97,NA,NA
DNAJB6,0.25,0.0729
P4HTM,0.1,0.453
TSPAN6,-0.27,0.374
NENF,0.23,0.404
TLR4,-0.38,0.121
CRELD2,0.08,0.782
KIT,NA,NA
HPRT1,0.1,0.43
CTSL,1.49,0.0764
SKP1,0.1,0.468
RRAGA,0.02,0.881
SMARCC1,NA,NA
UBE2J1,-0.37,0.159
GNAS,-0.43,0.013
NUDT9,-0.33,0.154
GSTM2,0.36,0.199
CTNND1,0.37,0.0387
REEP5,0.02,0.909
SLC35A3,0.01,0.914
RRP8,-0.12,0.195
CTNNAL1,0.19,0.199
WDTC1,0.46,1e-5
C2CD2,-0.48,0.0182
ABCF3,0.05,0.759
ATMIN,0.82,3e-5
KLHL9,0.02,0.794
TNFRSF21,-1.2,0.00318
ZDHHC6,0.15,0.522
METRN,0.13,0.496
THAP11,0.01,0.941
TCFL5,-0.34,0.244
PLEKHJ1,-0.14,0.554
LRRC41,0.76,6e-5
NET1,0.84,0
HLA-DMA,-0.17,0.199
BACE2,-0.56,0.00345
RAI14,-0.16,0.533
KLHDC2,0.01,0.948
SH3BP5,0.33,0.177
LRP10,-0.14,0.364
TM9SF2,-0.5,0.0548
ENOSF1,0.11,0.472
ALAS1,0.73,5e-5
ATP6V0B,-0.09,0.754
ST6GALNAC2,-1.39,0.00814
FZD7,0.33,0.211
BAG3,0.02,0.886
NFKBIA,0.12,0.522
S100A13,0.15,0.789
NISCH,0.22,0.124
DUSP14,0.2,0.204
HS2ST1,0.04,0.815
MPZL1,-0.47,0.197
PRKACA,NA,NA
CDK19,-0.59,0.00486
MBOAT7,-0.12,0.347
LGALS8,0.25,0.289
RALGDS,-0.13,0.6
RASA1,0.65,6e-4
CSNK1A1,0.02,0.92
NOLC1,-0.12,0.439
HES1,NA,NA
INTS3,-1.07,0.0471
DHDDS,0.61,7e-5
UBQLN2,-0.06,0.655
MAPKAPK5,0.16,0.315
ASCC3,0.33,0.0948
HMGCS1,-0.02,0.898
CEBPD,-0.39,0.071
