HGNC_Symbol,LFC,p
CFLAR,-0.04,0.62704
CAT,0.21,0.47937
DCTD,0.02,0.54042
CYB561,0.05,0.61997
PRKX,0.36,0.29725
RGS2,0.36,0.22805
CLTB,-0.09,0.6021
UBE2A,0.07,0.51017
TMEM97,-0.08,0.5407
DNAJB6,0.04,0.79882
P4HTM,0,0.97224
TSPAN6,0.15,0.49537
NENF,0.22,0.22195
TLR4,0.59,0.30364
CRELD2,0.1,0.4194
KIT,-0.29,0.4053
HPRT1,0.35,0.27476
CTSL,-0.19,0.15369
SKP1,0.02,0.81498
RRAGA,-0.01,0.95955
SMARCC1,-0.03,0.65447
UBE2J1,0.02,0.6206
GNAS,-0.05,0.6958
NUDT9,-0.05,0.71511
GSTM2,-0.02,0.93544
CTNND1,0.08,0.36187
REEP5,-0.03,0.88104
SLC35A3,0.01,0.35368
RRP8,0.03,0.66239
CTNNAL1,0.2,0.09505
WDTC1,-0.32,0.64549
C2CD2,0.16,0.17512
ABCF3,0.02,0.88301
ATMIN,0.07,0.45185
KLHL9,0.22,0.51292
TNFRSF21,-0.23,0.25751
ZDHHC6,0.08,0.3351
METRN,-0.15,0.61168
THAP11,-0.14,0.23228
TCFL5,-0.3,0.171
PLEKHJ1,0.07,0.40377
LRRC41,0.15,0.33176
NET1,-0.28,0.06436
HLA-DMA,0.59,0.07728
BACE2,0.1,0.79911
RAI14,-0.16,0.88081
KLHDC2,-0.12,0.47242
SH3BP5,-0.07,0.61305
LRP10,0.01,0.79758
TM9SF2,0.03,0.84785
ENOSF1,-0.28,0.20923
ALAS1,-0.03,0.89145
ATP6V0B,-0.02,0.94136
ST6GALNAC2,0.71,0.56071
FZD7,0.33,0.13681
BAG3,0.53,0.1583
NFKBIA,-0.04,0.6213
S100A13,-0.1,0.59595
NISCH,0.38,0.08035
DUSP14,0.16,0.37411
HS2ST1,0.19,0.17469
MPZL1,0.14,0.21563
PRKACA,0.16,0.51545
CDK19,-0.1,0.54977
MBOAT7,0.4,0.21645
LGALS8,0.17,0.36509
RALGDS,0.03,0.89239
RASA1,0.06,0.68614
CSNK1A1,0.16,0.53067
NOLC1,0.02,0.89021
HES1,-0.11,0.74297
INTS3,-0.24,0.27686
DHDDS,0.09,0.5759
UBQLN2,0.16,0.23671
MAPKAPK5,1.11,0.29218
ASCC3,0.37,0.3679
HMGCS1,0.04,0.83315
CEBPD,0.37,0.29095
RTN2,-0.08,0.69378
PLEKHM1,-0.33,0.15197
B4GAT1,0.01,0.86081
RNPS1,0.09,0.26902
PRPF4,-0.07,0.73043
LSM6,0.09,0.29608
RFNG,0.03,0.84995
PYGL,0.63,0.0127
FGFR2,-0.15,0.18873
MMP2,-1.94,0.24493
LRPAP1,0.14,0.62401
WASF3,0.05,0.57679
CRK,0.06,0.49153
MSH6,-0.32,0.31581
KLHL21,0.02,0.92216
GLRX,0.38,0.21862
EBP,-0.23,0.42015
SYNE2,-0.07,0.28391
SLC35F2,0.09,0.56822
CDKN1A,0.37,0.47888
EPHA3,0.03,0.72347
ABL1,-0.1,0.57488
TP53BP1,0.02,0.53045
TCEA2,-0.04,0.51978
STX1A,0.16,0.47545
CISD1,-0.02,0.92708
COL1A1,-0.02,0.47908
KCTD5,-0.22,0.41818
PTK2,-0.11,0.24948
TERF2IP,0.13,0.23917
DECR1,-0.07,0.63387
SNX11,0.09,0.71956
EBNA1BP2,-0.01,0.94152
BCL7B,0.03,0.78791
FDFT1,-0.11,0.37462
DNAJB1,0.28,0.26808
NPC1,-0.1,0.27537
SNCA,0.23,0.3196
PSME2,0.15,0.31739
PSIP1,0.11,0.44489
COG2,-0.21,0.51574
RALA,-0.1,0.24272
RPA2,0.01,0.95892
SCP2,0,0.93823
NCK2,0.14,0.41342
CDK6,0.28,0.23799
CDC42,0.08,0.44241
ADO,-0.16,0.18116
JUN,0.26,0.26258
TMCO1,-0.08,0.56851
TSPAN4,0,0.766
HSPA1A,0.12,0.63697
RAD51C,0.03,0.87083
ITGAE,-0.05,0.57956
EGFR,-0.1,0.3889
PRR7,-0.09,0.5416
SLC25A4,-0.09,0.71236
FKBP4,0.2,0.44769
EIF5,-0.13,0.4965
SYPL1,-0.36,0.03418
ACAT2,-0.22,0.39955
RAB4A,-0.06,0.56632
RNF167,-0.18,0.22812
PSMD10,-0.08,0.52409
TESK1,0.11,0.17899
BAMBI,-0.21,0.22467
CRKL,-0.01,0.91366
UTP14A,0.24,0.05136
EAPP,0.02,0.8742
PLSCR1,0.53,0.30222
CIAPIN1,-0.09,0.54943
SMNDC1,0.13,0.2506
ARHGEF12,0.07,0.46357
MPC2,0.14,0.35916
CDC25B,0.01,0.9282
INPP1,-0.28,0.02494
