HGNC_Symbol,LFC,p
CFLAR,0.07,0.41563
CAT,-0.08,0.79221
DCTD,-0.04,0.08305
CYB561,0,0.73681
PRKX,0.21,0.03796
RGS2,-0.02,0.8406
CLTB,-0.11,0.4043
UBE2A,-0.06,0.02237
TMEM97,-0.14,0.13831
DNAJB6,-0.39,0.00246
P4HTM,0,0.99735
TSPAN6,0.2,0.09363
NENF,-0.01,0.3767
TLR4,0.11,0.43784
CRELD2,-0.05,0.59641
KIT,0.07,0.50426
HPRT1,0.16,0.29314
CTSL,-0.05,0.42877
SKP1,-0.03,0.69548
RRAGA,-0.07,0.35164
SMARCC1,-0.08,0.37246
UBE2J1,0.02,0.23417
GNAS,0.04,0.46309
NUDT9,-0.03,0.71545
GSTM2,0.1,0.38798
CTNND1,0.02,0.43356
REEP5,-0.1,0.21794
SLC35A3,0.14,0.35693
RRP8,0.24,0.09803
CTNNAL1,-0.02,0.81472
WDTC1,-0.03,0.429
C2CD2,0.07,0.31951
ABCF3,-0.1,0.26982
ATMIN,0.08,0.16302
KLHL9,-0.07,0.30001
TNFRSF21,0.06,0.6144
ZDHHC6,0.08,0.28192
METRN,-0.1,0.39101
THAP11,-0.08,0.28117
TCFL5,-0.07,0.52642
PLEKHJ1,-0.17,0.0106
LRRC41,0.09,0.33733
NET1,0,0.55687
HLA-DMA,-0.16,0.22551
BACE2,0.23,0.30151
RAI14,-0.1,0.43234
KLHDC2,-0.13,0.13212
SH3BP5,0.22,0.02237
LRP10,0.22,0.06667
TM9SF2,-0.18,0.07149
ENOSF1,0.25,0.17125
ALAS1,-0.12,0.24393
ATP6V0B,-0.13,0.20952
ST6GALNAC2,-0.58,0.00408
FZD7,0.32,0.05732
BAG3,0.41,0.07659
NFKBIA,0.07,0.62368
S100A13,0.02,0.9298
NISCH,0.1,0.21443
DUSP14,-0.05,0.50566
HS2ST1,0.08,0.22273
MPZL1,0.06,0.1826
PRKACA,-0.07,0.52866
CDK19,-0.13,0.10278
MBOAT7,-0.04,0.52136
LGALS8,0.02,0.43542
RALGDS,0.01,0.90082
RASA1,0.09,0.34025
CSNK1A1,0.01,0.15037
NOLC1,-0.18,0.05566
HES1,-0.05,0.41959
INTS3,-0.11,0.56931
DHDDS,0.05,0.46487
UBQLN2,0.22,0.02871
MAPKAPK5,-0.13,0.17495
ASCC3,0.14,0.20786
HMGCS1,-0.14,0.20757
CEBPD,0.1,0.44037
RTN2,-0.09,0.26791
PLEKHM1,-0.06,0.31249
B4GAT1,0.11,0.28903
RNPS1,-0.06,0.32183
PRPF4,-0.05,0.44926
LSM6,0.07,0.32953
RFNG,-0.05,0.58878
PYGL,0.12,0.2309
FGFR2,-0.03,0.41105
MMP2,-0.23,0.21337
LRPAP1,-0.1,0.39874
WASF3,0.01,0.87984
CRK,-0.14,0.10113
MSH6,0.27,0.13197
KLHL21,0.15,0.04344
GLRX,0.11,0.54016
EBP,-0.04,0.44725
SYNE2,-0.06,0.37103
SLC35F2,0.01,0.8814
CDKN1A,0.1,0.792
EPHA3,-0.01,0.74083
ABL1,0,0.97194
TP53BP1,0,0.70807
TCEA2,0,0.9852
STX1A,-0.15,0.22619
CISD1,0.13,0.45902
COL1A1,0.08,0.45519
KCTD5,0.15,0.07791
PTK2,0.08,0.36244
TERF2IP,0.07,0.26303
DECR1,0.2,0.0583
SNX11,0.01,0.80796
EBNA1BP2,-0.03,0.80917
BCL7B,0,0.96024
FDFT1,-0.02,0.22157
DNAJB1,-0.13,0.44475
NPC1,-0.06,0.83034
SNCA,0.01,0.27396
PSME2,0.03,0.69018
PSIP1,0.08,0.26361
COG2,0.03,0.60761
RALA,-0.09,0.39192
RPA2,-0.01,0.88019
SCP2,0.12,0.18149
NCK2,-0.04,0.54675
CDK6,-0.17,0.58285
CDC42,-0.07,0.47593
ADO,-0.06,0.4129
JUN,-0.11,0.32374000000000003
TMCO1,0,0.21893
TSPAN4,0.01,0.11593
HSPA1A,0.07,0.31382
RAD51C,-0.04,0.62346
ITGAE,0.03,0.70433
EGFR,0.11,0.30664
PRR7,-0.05,0.73406
SLC25A4,-0.09,0.52183
FKBP4,-0.28,0.03091
EIF5,-0.07,0.3865
SYPL1,-0.02,0.40079
